Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date,Total Equity Funding Amount,Valuation at IPO
Katerra,https://www.crunchbase.com/organization/katerra,"Real Estate, Transportation","Scottsdale, Arizona, United States",Katerra is a Silicon Valley startup that is redefining the multi-trillion dollar construction industry.,1981,https://katerra.com/,Series C,"$130,000,000","$205,573,028",-0.8,11-50,"Construction, Procurement, Logistics, Supply Chain Management",01/01/2015,Operating,04/13/2017,"$205,573,028",
Datrium,https://www.crunchbase.com/organization/datrium,"Hardware, Software","Sunnyvale, California, United States",Datrium provides Open Convergence for private clouds.,1986,http://www.datrium.com/,Series C,"$55,000,000","$110,000,000",0.8,101-250,"IaaS, Data Storage, Enterprise Software",01/01/2012,Operating,12/05/2016,"$110,000,000",
SoundHound Inc.,https://www.crunchbase.com/organization/soundhound,"Apps, Science and Engineering, Media and Entertainment, Music and Audio, Data and Analytics, Software, Artificial Intelligence, Mobile","Santa Clara, California, United States",SoundHound Inc. is the leading innovator in voice-enabled AI and conversational intelligence technologies.,1989,http://www.soundhound.com,Series D,"$75,000,000","$75,000,000",-1.8,101-250,"Audio, Speech Recognition, Natural Language Processing, Mobile, Apps, Artificial Intelligence",09/01/2005,Operating,01/31/2017,"$75,000,000",
RichRelevance,https://www.crunchbase.com/organization/richrelevance,"Commerce and Shopping, Internet Services, Mobile","San Francisco, California, United States",RichRelevance is the global leader in omnichannel personalization,1992,http://www.richrelevance.com,Series G,"$10,000,000","$95,832,065",-0.6,101-250,"Retail, Mobile, Internet, E-Commerce",01/01/2006,Operating,06/02/2014,"$91,800,000",
Scale Computing,https://www.crunchbase.com/organization/scale-computing,"Hardware, Information Technology, Software","Indianapolis, Indiana, United States","Scale Computing develops scale-out clustered IT infrastructure products for organizations, based on its patented ICOS technology.",2006,http://www.scalecomputing.com,Series E,"$18,000,000","$61,000,000",2.7,101-250,"Virtualization, IT Infrastructure, Enterprise Software, Data Center",01/01/2006,Operating,07/15/2015,"$61,000,000",
Sailthru,https://www.crunchbase.com/organization/sailthru,"Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Content and Publishing, Artificial Intelligence, Mobile","New York, New York, United States","Sailthru helps modern marketers acquire, grow, and retain customers.",2007,http://sailthru.com,Series C,"$20,000,000","$48,000,000",-0.6,101-250,"Digital Marketing, Mobile, E-Commerce, Enterprise Software, Email Marketing, Publishing, Predictive Analytics, Marketing Automation",06/01/2008,Operating,12/17/2013,"$48,000,000",
Common,https://www.crunchbase.com/organization/common-2,"Real Estate, Community and Lifestyle","New York, New York, United States","A modern, urban lifestyle that values openness, collaboration and relationship building.",2010,https://www.common.com/,Series B,"$16,000,000","$23,350,000",0.3,1-10,"Real Estate, Communities, Consulting",01/01/2015,Operating,06/15/2016,"$23,350,000",
Sysdig,https://www.crunchbase.com/organization/sysdig,"Software, Internet Services","San Francisco, California, United States",The container monitoring company,2011,https://www.sysdig.com,Series B,"$15,000,000","$28,000,000",1.2,11-50,"Cloud Computing, Open Source, Internet, Software",01/01/2013,Operating,04/21/2016,"$28,000,000",
mParticle,https://www.crunchbase.com/organization/mparticle,"Data and Analytics, Software, Mobile","New York, New York, United States",mParticle is the customer data platform for every screen.,2016,http://mparticle.com,Series B,"$17,500,000","$41,305,000",-0.7,11-50,"Big Data, Enterprise Software, Software, Mobile",01/01/2013,Operating,10/13/2016,"$37,000,000",
Samsara,https://www.crunchbase.com/organization/samsara-2,"Hardware, Consumer Electronics, Software","San Francisco, California, United States","Samsara disrupts the traditional sensor model with an integrated, software-centric solution.",2020,http://www.samsara.com,Series C,"$40,000,000","$80,000,000",-2.9,101-250,"Software, Electronics, Sensor",01/01/2015,Operating,06/21/2017,"$80,000,000",
Ionic Security,https://www.crunchbase.com/organization/ionic-security,"Information Technology, Professional Services, Privacy and Security","Atlanta, Georgia, United States","Ionic Security, a data security platform, provides access control, intellectual property monitoring, data encryption, and policy management.",2023,https://ionicsecurity.com/,Series D,"$45,000,000","$122,440,001",-0.6,1-10,"Intellectual Property, Security, Cyber Security, Information Technology",05/04/2011,Operating,06/01/2016,"$122,440,001",
Bracket Computing,https://www.crunchbase.com/organization/bracket-computing,"Hardware, Information Technology, Consumer Electronics, Software","Sunnyvale, California, United States","Bracket Computing was founded in 2011 with the goal of delivering enterprise computing driven by business needs, not hardware limitations.",2027,http://www.brkt.com,Series C,"$46,400,000","$131,700,000",0.8,51-100,"Computer, Information Technology, Software",01/01/2011,Operating,10/14/2015,"$131,700,000",
Nuna Incorporated,https://www.crunchbase.com/organization/nuna-health,"Government and Military, Health Care","San Francisco, California, United States","Nuna works with government, employers, and plans to improve how people use healthcare through data.",2032,https://www.nuna.com/,Series Unknown,"$90,000,000","$90,000,000",-0.2,51-100,"Health Care, Hospital, Government",01/01/2010,Operating,01/19/2017,"$90,000,000",
CAN Capital,https://www.crunchbase.com/organization/can-capital,"Financial Services, Lending and Investments","New York, New York, United States","CAN Capital provides capital to small and medium-sized businesses, using its own real-time platform and risk-scoring models.",2037,http://cancapital.com,Debt Financing,"$650,000,000","$744,500,000",0.7,251-500,"FinTech, Finance, Commercial Lending, Financial Services",01/01/1998,Operating,04/02/2015,"$94,500,000",
Rebagg,https://www.crunchbase.com/organization/rebagg,"Commerce and Shopping, Clothing and Apparel, Design","New City, New York, United States",Rebagg purchases high-end designer handbags for cash. We offer guaranteed pricing and a prepaid shippingbox anywhere within the US.,2048,http://www.rebagg.com,Series B,"$15,500,000","$31,800,000",4.8,,"E-Commerce, Fashion, Retail",01/01/2014,Operating,07/26/2017,"$28,300,000",
CreativeLive,https://www.crunchbase.com/organization/creativelive,"Software, Education, Internet Services","Seattle, Washington, United States","CreativeLIVE is the world’s leading live, online classroom for creative entrepreneurs.",2050,http://www.creativelive.com,Series C,"$25,000,000","$76,000,000",-3,51-100,"Online Portals, EdTech, Education, Internet",04/01/2010,Operating,05/17/2017,"$76,000,000",
StackRox,https://www.crunchbase.com/organization/stackrox,"Software, Internet Services, Privacy and Security","Mountain View, California, United States",StackRox delivers the industry's only adaptive threat protection for containers.,2060,http://www.stackrox.com,Series A,"$14,000,000","$14,000,000",9,,"Security, Enterprise Software, Cloud Computing",11/01/2014,Operating,07/18/2017,"$14,000,000",
Netlify,https://www.crunchbase.com/organization/netlify,"Software, Internet Services, Content and Publishing","San Francisco, California, United States","Netlify builds, deploys and host static websites and apps.",2075,http://www.netlify.com,Series A,"$12,000,000","$14,100,000",7.7,1-10,"Web Hosting, Content Delivery Network, Web Development",01/01/2015,Operating,08/09/2017,"$14,100,000",
Invoca,https://www.crunchbase.com/organization/invoca,"Hardware, Software, Sales and Marketing, Advertising","Santa Barbara, California, United States",Invoca brings call intelligence to the marketing cloud to help marketers drive inbound calls and turn them into sales.,2076,http://www.invoca.com,Series D,"$30,000,000","$60,750,000",0,101-250,"Telecommunications, Marketing Automation, Enterprise Software, Advertising",05/01/2008,Operating,03/30/2016,"$60,750,000",
Magic,https://www.crunchbase.com/organization/magic,"Apps, Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence, Mobile","San Francisco, California, United States",Magic provides a 24/7 SMS based on-demand personal assistant service.,2078,https://www.getmagic.com/,Series A,"$12,000,000","$12,120,000",1.9,11-50,"Apps, Virtual Assistant, Mobile, Messaging, Artificial Intelligence",01/01/2015,Operating,03/26/2015,"$12,120,000",
Counsyl,https://www.crunchbase.com/organization/counsyl,"Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States","Counsyl is a health technology company that offers DNA screening for men, women, and their children.",2079,http://www.counsyl.com,Series D,"$41,500,000","$157,795,000",-0.6,251-500,"Genetics, Health Diagnostics, Biotechnology",01/01/2008,Operating,05/08/2014,"$157,795,000",
Mocana,https://www.crunchbase.com/organization/mocana,"Manufacturing, Information Technology, Privacy and Security, Mobile","San Francisco, California, United States","Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.",2081,http://www.mocana.com,Series F,"$11,000,000","$80,737,075",-2.3,101-250,"Security, Manufacturing, Cyber Security, Mobile",01/01/2004,Operating,05/16/2017,"$76,263,004",
Carousell,https://www.crunchbase.com/organization/carousell,"Platforms, Software, Mobile","Singapore, Central Region, Singapore",Carousell is a Singapore-based consumer-to-consumer marketplace application for iOS and Android.,2082,https://carousell.com/,Series B,"$35,000,000","$41,800,000",-1,101-250,"iOS, Consumer, Mobile",05/01/2012,Operating,08/01/2016,"$41,800,000",
Tradesy,https://www.crunchbase.com/organization/tradesy,"Commerce and Shopping, Clothing and Apparel, Internet Services, Design","Santa Monica, California, United States","Tradesy is marketplace where millions of women come to buy and sell clothing, bags and accessories.",2087,http://www.tradesy.com,Series C,"$30,000,000","$74,500,000",-0.2,101-250,"Retail, Internet, Fashion, E-Commerce",10/24/2012,Operating,05/09/2016,"$74,500,000",
Ironclad,https://www.crunchbase.com/organization/ironclad,Professional Services,"San Francisco, California, United States",Ironclad is the intelligent contract management system for in-house legal teams.,2092,https://www.ironcladapp.com/,Series A,"$8,000,000","$8,120,000",7.7,,"SaaS, Legal",,Operating,08/02/2017,"$8,120,000",
Reserve,https://www.crunchbase.com/organization/reserve,"Apps, Food and Beverage, Software, Payments, Financial Services, Mobile","New York, New York, United States","Reserve is a restaurant technology company focused on making every part of the dining experience better, for both restaurants and diners.",2093,https://reserve.com,Series B,"$10,000,000","$25,000,000",-2.8,51-100,"Restaurants, Apps, Mobile Payments",01/01/2014,Operating,02/01/2017,"$25,000,000",
Skybox Security,https://www.crunchbase.com/organization/skybox-security,"Information Technology, Privacy and Security","San Jose, California, United States",Skybox Security is a global leader in security analytics for cybersecurity management,2095,https://www.skyboxsecurity.com/,Private Equity,"$96,000,000","$129,754,000",0.1,101-250,"Management Information Systems, Security, Network Security",01/01/2002,Operating,02/03/2016,"$128,800,000",
Managed by Q,https://www.crunchbase.com/organization/managed-by-q,"Platforms, Software, Administrative Services","New York, New York, United States","Managed by Q provides subscription and on-demand office services, from cleaning and maintenance to supply replenishment and wellness.",2097,http://www.managedbyq.com,Series C,"$30,000,000","$72,425,000",-0.9,251-500,"Enterprise Software, Professional Services, Office Administration, Operating Systems",12/01/2013,Operating,12/16/2016,"$72,425,000",
Wikia,https://www.crunchbase.com/organization/wikia,"Media and Entertainment, Internet Services, Content and Publishing","San Francisco, California, United States","Unleash the power of knowledge as influence. Enable personal and collective creativity. Distribute rich, original content.",2098,http://www.wikia.com,Series D,"$15,000,000","$39,000,000",3.3,101-250,"Creative Agency, Social Media, Online Portals",01/01/2004,Operating,08/27/2014,"$39,000,000",
Symphony Commerce,https://www.crunchbase.com/organization/symphony-commerce,"Commerce and Shopping, Internet Services, Mobile","San Francisco, California, United States","Symphony Commerce delivers Commerce-as-a-Service, orchestrating multi-channel commerce from store-to-door.",2106,https://www.symphonycommerce.com,Series C,"$15,725,000","$52,095,000",-0.4,51-100,"E-Commerce Platforms, E-Commerce, Mobile",11/15/2010,Operating,08/25/2016,"$52,095,000",
ThousandEyes,https://www.crunchbase.com/organization/thousandeyes,"Hardware, Software","San Francisco, California, United States",ThousandEyes is a Network Intelligence platform that delivers visibility into every network modern enterprises relies on.,2113,http://www.thousandeyes.com,Series C,"$35,000,000","$60,662,500",-1,101-250,"Customer Service, Network Hardware, Enterprise Software",01/02/2010,Operating,02/25/2016,"$60,500,000",
Taykey,https://www.crunchbase.com/organization/taykey,"Sales and Marketing, Advertising","New York, New York, United States",Taykey gives marketers real-time tools to automatically target advertising and gather insights based on what's trending for their audience.,2116,http://www.taykey.com,Series D,"$15,000,000","$32,000,000",4.1,51-100,"Advertising, Ad Targeting, Marketing, Real Time",01/01/2009,Operating,01/20/2015,"$32,000,000",
Eaze,https://www.crunchbase.com/organization/eaze-2,"Commerce and Shopping, Health Care, Mobile","San Francisco, California, United States","Eaze offers medical marijuana delivery, helping patients order cannabis on demand.",2118,http://www.eazeup.com/,Series B,"$13,000,000","$24,500,000",-1.7,11-50,"Mobile, Marketplace, E-Commerce, Health Care",07/29/2014,Operating,10/24/2016,"$24,500,000",
Voonik,https://www.crunchbase.com/organization/voonik-com,"Apps, Commerce and Shopping, Community and Lifestyle, Software, Clothing and Apparel, Internet Services, Design","Bengaluru, Karnataka, India",Voonik is india's first online shopping store for women. They give you stylish handpicked items for your personalised purchase.,2127,http://www.voonik.com,Series B,"$6,000,000","$34,500,000",-2.6,11-50,"Online Portals, Apps, Fashion, E-Commerce, Lifestyle",01/17/2013,Operating,02/08/2017,"$31,500,000",
Citymapper,https://www.crunchbase.com/organization/citymapper-limited,"Apps, Travel and Tourism, Software, Transportation, Internet Services","London, England, United Kingdom",Citymapper is a transport app for cities.,2133,http://citymapper.com,Series B,"$40,000,000","$50,000,000",-0.6,11-50,"Internet, Travel, Apps, Transportation",01/01/2011,Operating,01/20/2016,"$50,000,000",
Cloudability,https://www.crunchbase.com/organization/cloudability,"Software, Payments, Internet Services, Financial Services","Portland, Oregon, United States",Cloudability is a financial management tool for monitoring and analyzing cloud expenses across any organization.,2142,http://cloudability.com,Series B,"$24,000,000","$39,818,000",-1.8,11-50,"Internet, Cloud Computing, Enterprise Software, Billing, Finance",02/01/2011,Operating,06/06/2016,"$39,818,000",
Zola,https://www.crunchbase.com/organization/zola,"Commerce and Shopping, Events, Community and Lifestyle, Internet Services","New York, New York, United States","Zola is an innovative Wedding Registry that is transforming how couples and guests share, buy, and ship wedding gifts.",2145,http://www.zola.com,Series C,"$25,000,000","$40,849,999",-1.3,11-50,"Wedding, Shopping, E-Commerce, Internet",01/01/2013,Operating,11/22/2016,"$40,849,999",
Behalf,https://www.crunchbase.com/organization/behalf,"Payments, Internet Services, Financial Services","New York, New York, United States","Behalf's mission is to empower commerce for businesses large and small with well-priced, on demand payment tools.",2150,https://www.behalf.com,Series C,"$27,000,000","$156,000,000",-0.4,51-100,"Payments, Internet of Things, Finance, FinTech",01/01/2011,Operating,08/30/2016,"$156,000,000",
June,https://www.crunchbase.com/organization/june,"Hardware, Commerce and Shopping, Consumer Electronics, Food and Beverage","San Francisco, California, United States",June is a smart oven for your home.,2151,https://juneoven.com/,Series A,"$22,500,000","$29,500,000",0.7,11-50,"Cooking, Electronics, E-Commerce",01/01/2013,Operating,03/25/2016,"$29,500,000",
AppCard,https://www.crunchbase.com/organization/appcard,"Data and Analytics, Sales and Marketing, Financial Services","New York, New York, United States","AppCard is a platform enabling merchants to retain customer through loyalty programs, analytics engines, rewards and personalized offers.",2155,http://appcard.com,Series B,"$20,000,000","$26,500,000",6.8,11-50,"Loyalty Programs, Analytics, FinTech, Business Intelligence",01/01/2011,Operating,02/25/2016,"$26,500,000",
Reputation.com,https://www.crunchbase.com/organization/reputation-com,"Media and Entertainment, Information Technology, Software, Internet Services",,"Reputation.com provides solutions for tracking and improving online reviews, social media, and local search visibility for businesses.",2156,http://www.reputation.com,Series Unknown,,"$87,250,000",-1.1,251-500,"Social Media, Internet, Reputation, SaaS, Enterprise Software",01/01/2006,Operating,03/28/2017,"$87,250,000",
Mobvoi Inc.,https://www.crunchbase.com/organization/mobvoi,"Data and Analytics, Internet Services, Mobile","Beijing, Beijing, China",Mobvoi is a mobile voice search company.,2159,http://www.chumenwenwen.com/en/site/index.html,Series D,"$180,000,000","$252,720,178",-1.3,11-50,"Internet, Analytics, Mobile",01/01/2012,Operating,04/06/2017,"$252,720,178",
Chain,https://www.crunchbase.com/organization/chain-2,"Community and Lifestyle, Professional Services, Financial Services","San Francisco, California, United States",Chain is a company that helps developers build bitcoin apps by providing fast access to the block chain,2161,http://www.chain.com,Series C,"$30,000,000","$43,700,000",-1,11-50,"FinTech, Enterprise, Professional Networking",01/01/2014,Operating,09/09/2015,"$43,700,000",
Nexar,https://www.crunchbase.com/organization/nexar-2,"Apps, Software, Transportation, Internet Services","Tel Aviv, Tel Aviv, Israel",Nexar is a vehicle-to-vehicle network.,2165,https://getnexar.com/,Series A,"$10,500,000","$14,500,000",-0.7,11-50,"Transportation, Internet, Apps",01/01/2015,Operating,06/15/2016,"$14,500,000",
Catalant,https://www.crunchbase.com/organization/hourlynerd,Software,"Boston, Massachusetts, United States",Catalant provides global enterprises with software solutions to access business expertise on demand.,2178,http://www.gocatalant.com,Series D,"$41,000,000","$75,550,000",-1.8,51-100,"Consulting, Small and Medium Businesses, Enterprise Software, Professional Services",01/01/2013,Operating,06/27/2017,"$75,550,000",
Navdy,https://www.crunchbase.com/organization/navdy,"Hardware, Navigation and Mapping, Consumer Electronics, Transportation, Mobile","San Francisco, California, United States",Navdy creates augmented driving device for cars.,2185,https://www.navdy.com/,Funding Round,"$15,000,000","$41,800,000",-0.9,51-100,"Automotive, Navigation, Consumer Electronics, Mobile",01/01/2013,Operating,12/06/2016,"$41,800,000",
LiquidSpace,https://www.crunchbase.com/organization/liquidspace,Real Estate,"Palo Alto, California, United States",LiquidSpace is the largest network for startups to instantly find and book better places to meet and work. No leases or hassles.,2194,http://www.liquidspace.com,Series Unknown,"$120,000","$26,320,000",2.5,,"Real Estate, Collaborative Consumption, Peer to Peer, Real Time",01/01/2010,Operating,06/01/2015,"$26,320,000",
Viome,https://www.crunchbase.com/organization/viome,"Sports, Health Care","Cupertino, California, United States",Discovering predictive biomarkers to eradicate all diseases.,2198,http://www.viome.com,Series A,"$15,000,002","$15,000,002",9.5,11-50,"Health Care, Wellness, Fitness",01/04/2016,Operating,07/31/2017,"$15,000,002",
Gametime,https://www.crunchbase.com/organization/gametime,"Platforms, Apps, Commerce and Shopping, Media and Entertainment, Software, Sports, Content and Publishing, Mobile","San Francisco, California, United States",Last-minute tickets at the best price in seconds.,2201,http://www.gametime.co,Series B,"$20,000,000","$33,300,000",-1.4,51-100,"Sports, E-Commerce, Media and Entertainment, Mobile, Mobile Apps, Apps, iOS, Android, Photography",05/01/2013,Operating,09/21/2016,"$33,300,000",
Deliv,https://www.crunchbase.com/organization/deliv,"Commerce and Shopping, Internet Services","Menlo Park, California, United States",Deliv is a crowdsourced same-day delivery service for large national multichannel retailers.,2204,http://www.deliv.co,Series B,"$28,000,000","$40,350,000",-0.7,11-50,"Internet, Crowdsourcing, E-Commerce",01/01/2012,Operating,02/24/2016,"$40,350,000",
Datameer,https://www.crunchbase.com/organization/datameer,"Data and Analytics, Software","San Francisco, California, United States",Datameer provides business users with an end-to-end big data analytics application native for Hadoop.,2206,https://www.datameer.com,Series E,"$40,000,000","$76,750,000",-0.1,101-250,"Software, Analytics, Big Data",09/01/2009,Operating,08/18/2015,"$76,750,000",
Fancy,https://www.crunchbase.com/organization/fancy,"Commerce and Shopping, Media and Entertainment, Internet Services","New York, New York, United States",Fancy is a social photo sharing webstore and mobile app created by Joseph Einhorn.,2207,http://fancy.com,Series D,"$20,000,000","$124,400,000",-0.6,51-100,"E-Commerce, Shopping, Social Media",01/01/2009,Operating,02/10/2015,"$124,400,000",
StyleSeat,https://www.crunchbase.com/organization/styleseat,"Media and Entertainment, Health Care, Consumer Goods, Internet Services","San Francisco, California, United States",StyleSeat is an online destination that connects beauty and wellness professionals with clients.,2209,http://www.styleseat.com,Series B,"$25,000,000","$39,975,000",-0.7,,"Social Media, Beauty, Personal Health",05/23/2011,Operating,07/13/2015,"$39,975,000",
Optoro,https://www.crunchbase.com/organization/optoro,"Information Technology, Transportation","Washington, District of Columbia, United States",Revolutionizing the way retailers approach their excess and returned inventory.,2218,http://www.optoro.com,Series D,"$46,500,000","$169,400,000",-0.3,101-250,"Logistics, Information Technology, Information Services, Supply Chain Management",01/01/2010,Operating,12/20/2016,"$129,400,000",
Zymergen,https://www.crunchbase.com/organization/zymergen,"Biotechnology, Science and Engineering, Hardware, Data and Analytics, Software","Emeryville, California, United States",Zymergen is a technology company unlocking the power of biology.,2227,http://www.zymergen.com,Series B,"$130,000,000","$174,140,000",-1.1,101-250,"Robotics, Bioinformatics, Big Data",01/01/2013,Operating,10/11/2016,"$174,140,000",
Trumid Financial,https://www.crunchbase.com/organization/trumid,"Hardware, Commerce and Shopping, Consumer Electronics, Financial Services, Lending and Investments","New York, New York, United States",Trumid is an all-to-all electronic credit trading platform. It is designed to unlock liquidity and make bond and CDS trading easier.,2236,https://www.trumid.com/,Series Unknown,"$10,000,000","$54,250,000",2.4,11-50,"Marketplace, FinTech, Electronics, Trading Platform",06/04/2014,Operating,07/10/2017,"$54,250,000",
Bustle Digital Group,https://www.crunchbase.com/organization/bustle,"Media and Entertainment, Community and Lifestyle, Clothing and Apparel, Content and Publishing, Design","Brooklyn, New York, United States","Bustle Digital Group is a news, entertainment, lifestyle and fashion website that caters to women.",2238,http://bustle.com,Series D,"$12,000,000","$50,500,000",-0.6,51-100,"Fashion, News, Lifestyle, Media and Entertainment",01/01/2013,Operating,03/10/2017,"$50,500,000",
Kin Community,https://www.crunchbase.com/organization/kin-community,"Media and Entertainment, Internet Services","Los Angeles, California, United States",Kin is a digital media and entertainment company that inspires Millennial women around the world through video content and community.,2239,http://www.kincommunity.com/,Series D,"$13,500,000","$55,500,000",5.6,51-100,"Internet, Women's, Content",01/01/2011,Operating,06/30/2016,"$55,500,000",
Capriza,https://www.crunchbase.com/organization/capriza,"Software, Financial Services, Mobile","Palo Alto, California, United States","Capriza mobile-enables business applications quickly, cost-effectively, and non-disruptively. No coding, no new infrastructure, no upgrades.",2242,http://www.capriza.com,Series C,"$23,000,000","$73,500,000",-1.3,51-100,"Enterprise Software, Mobile, FinTech, SaaS",06/14/2011,Operating,07/19/2016,"$73,500,000",
Capillary Technologies,https://www.crunchbase.com/organization/capillary-technologies-pvt,"Commerce and Shopping, Data and Analytics, Software","Singapore, Central Region, Singapore",Capillary Technologies develops cloud-based customer analytics marketing platform for retailers and consumer businesses.,2245,http://www.capillarytech.com,Series D,"$3,000,000","$82,100,000",-1.1,251-500,"Analytics, Enterprise Software, Retail",08/01/2008,Operating,08/08/2016,"$82,100,000",
Crew,https://www.crunchbase.com/organization/crew-3,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Crew is a free service that simplifies team communications at work with messaging, schedules, and tasks in one centralized place.",2246,https://crewapp.com/,Seed,"$1,900,000","$24,900,000",-2.5,,"Productivity Tools, Task Management, Collaboration, Scheduling, Messaging",01/01/2015,Operating,05/04/2017,"$24,900,000",
Quantopian,https://www.crunchbase.com/organization/quantopian,"Financial Services, Lending and Investments","Boston, Massachusetts, United States",Quantopian inspires talented people to write investment algos. Select authors may license their algos to us and get paid for performance.,2247,http://www.quantopian.com,Series C,"$25,000,000","$48,800,000",-1.4,11-50,"FinTech, Financial Services, Hedge Funds",01/01/2011,Operating,11/14/2016,"$48,800,000",
Tala (formerly InVenture),https://www.crunchbase.com/organization/inventure,"Information Technology, Data and Analytics, Software, Financial Services, Lending and Investments, Mobile","Los Angeles, California, United States",Tala is mobile technology and data science company that is revolutionizing financial services in emerging markets.,2256,http://tala.co,Series B,"$30,000,000","$44,439,706",-1.2,11-50,"Information Technology, Credit, Software, Big Data, Mobile, Financial Services",10/01/2011,Operating,02/22/2017,"$44,439,706",
Upserve,https://www.crunchbase.com/organization/swipely,"Travel and Tourism, Information Technology, Food and Beverage, Software","Providence, Rhode Island, United States",Upserve is the smart management assistant that puts everything restaurateurs need to know in one place.,2259,http://upserve.com,Funding Round,,"$40,500,000",-1,101-250,"Service Industry, Restaurants, SaaS, Hospitality, Information Technology, Software",10/01/2009,Operating,07/06/2017,"$40,500,000",
Cato Networks,https://www.crunchbase.com/organization/cato-networks,"Information Technology, Software, Internet Services, Privacy and Security, Mobile","Tel Aviv, Tel Aviv, Israel","Cato Networks was founded to make network security work for the distributed, mobile and Cloud-enabled enterprise.",2264,http://www.catonetworks.com,Series B,"$30,000,000","$50,000,000",-1.3,11-50,"Network Security, Mobile, Cloud Computing",02/01/2015,Operating,09/13/2016,"$50,000,000",
Casetext,https://www.crunchbase.com/organization/casetext,"Media and Entertainment, Government and Military, Professional Services, Privacy and Security, Content and Publishing","San Francisco, California, United States",Casetext is where the best lawyers research and write about the law.,2271,http://www.casetext.com,Series B,"$12,000,000","$20,800,000",0.1,11-50,"Legal, Publishing, Law Enforcement",05/01/2013,Operating,03/22/2017,"$20,800,000",
Vida Health,https://www.crunchbase.com/organization/vida-health,"Commerce and Shopping, Information Technology, Health Care","San Francisco, California, United States","Vida provides personalized, on-demand health coaching and programs from experienced health care providers and medical institutions.",2279,http://www.vida.com,Series B,"$18,000,000","$24,300,000",-0.8,51-100,"Health Care, Marketplace, Information Technology",01/01/2014,Operating,12/08/2016,"$24,300,000",
Parsable,https://www.crunchbase.com/organization/parsable,"Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",Parsable helps the world’s largest industrial companies get jobs done right—every time.,2293,http://parsable.com/,Series B,"$20,000,000","$27,874,243",-0.2,11-50,"Software, Collaboration, Enterprise Software, Messaging, Mobile",07/01/2013,Operating,06/21/2016,"$27,874,243",
Grabr,https://www.crunchbase.com/organization/grabr,"Travel and Tourism, Commerce and Shopping, Administrative Services","San Francisco, California, United States",Grabr is a global peer-to-peer shopping and delivery platform.,2301,http://grabr.io,Seed,"$2,700,000","$6,200,000",3.6,11-50,"E-Commerce, Travel, Delivery, Peer to Peer",03/01/2015,Operating,07/24/2017,"$6,200,000",
AvidXchange,https://www.crunchbase.com/organization/avidxchange,"Software, Payments, Financial Services","Charlotte, North Carolina, United States",AvidXchange provides accounts payable and on-demand invoice management solutions.,2312,http://www.avidxchange.com,Private Equity,"$300,000,000","$545,273,753",-2,501-1000,"Payments, Software, SaaS",04/01/2000,Operating,06/08/2017,"$545,273,753",
Raise Marketplace,https://www.crunchbase.com/organization/raise-marketplace,"Commerce and Shopping, Financial Services","Chicago, Illinois, United States",Raise is the largest marketplace to buy and sell gift cards.,2318,https://www.raise.com/,Series B,"$62,000,000","$87,200,000",-0.6,101-250,"FinTech, E-Commerce, Gift Card",02/03/2010,Operating,01/22/2015,"$87,200,000",
Veem,https://www.crunchbase.com/organization/align-commerce,"Information Technology, Software, Payments, Financial Services","San Francisco, California, United States",Veem (formerly Align Commerce) is a next generation payment service provider (PSP) for global commerce.,2319,http://www.veem.com/,Series B,"$24,000,000","$44,250,000",-0.9,11-50,"Information Technology, Payments, FinTech, Bitcoin",02/01/2014,Operating,03/08/2017,"$44,250,000",
CyPhy Works,https://www.crunchbase.com/organization/cyphy-works,"Hardware, Information Technology, Consumer Electronics, Government and Military, Consumer Goods","Danvers, Massachusetts, United States",CyPhy works develops unmanned air vehicles for search and rescue missions and bridge inspections.,2320,http://www.cyphyworks.com,Series B,"$22,000,000","$34,450,002",-0.7,11-50,"GovTech, Drones, Public Safety, Industrial",11/14/2008,Operating,10/13/2015,"$31,950,002",
One Medical,https://www.crunchbase.com/organization/one-medical-group,Health Care,"San Francisco, California, United States",One Medical is an innovative primary care practice.,2325,http://www.onemedical.com,Secondary Market,,"$181,500,000",-0.7,,"Health Care, Medical Device, Medical",01/01/2007,Operating,03/18/2017,"$181,500,000",
uBeam,https://www.crunchbase.com/organization/ubeam,"Hardware, Consumer Electronics, Internet Services, Mobile","Santa Monica, California, United States",uBeam is a wireless power startup that transmits power to charge electronic devices over-the-air.,2328,http://www.ubeam.com,Convertible Note,"$2,600,000","$29,335,000",-0.1,11-50,"Wireless, Internet of Things, Hardware, Consumer Electronics",01/01/2012,Operating,12/18/2015,"$28,350,000",
