,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
368,FILLD,19,"eBay, Sega of America Inc., Apple, Geoworks, General Dynamics Advanced Information Systems","Stanford University, Bethany College, Santa Clara University, UC Irvine, University of California Santa Barbara","Apps, Natural Resources, Energy, Software","Mountain View, California, United States",1254,Series A,"$9,650,000",12900000,8,"Apps, Oil and Gas, Service Industry",01/01/2015,Operating,08/15/2017,12900000,0.26,12.9,1.348
370,Duo Security,486,"Duo Security, University of Michigan, HelloWorld Inc., Dell, Salesforce","University of Michigan, Eastern Michigan University, Michigan State University, Central Michigan University, Washtenaw Community College","Financial Services, Lending and Investments","Hong Kong, Hong Kong Island, Hong Kong",30470,Series C,"$145,500,000",215500000,,"Trading Platform, Financial Services",01/01/2012,Operating,06/13/2017,215500000,0.43,215.5,1.054
371,CloudHealth Technologies,212,"CloudHealth Technologies Inc., CA Technologies, IBM, Amazon Robotics, LogMeIn","Northeastern University, Boston University, University of Massachusetts Amherst, Bentley University, University of Massachusetts Boston","Information Technology, Data and Analytics, Software, Internet Services","Boston, Massachusetts, United States",1273,Series D,"$46,000,000",85700000,-1,"Software, Cloud Management, Information Services, Cloud Data Services, Analytics",01/01/2012,Operating,06/27/2017,85700000,0.39,85.7,0.9
372,Trifacta,131,"Informatica, Trifacta, Oracle, Symantec, Microsoft","University of California Berkeley, Stanford University, Massachusetts Institute of Technology, Politecnico di Milano, Northwestern University","Information Technology, Data and Analytics, Software","San Francisco, California, United States",1287,Series C,,76300000,-0.5,"Software, Analytics, Information Technology, Big Data",04/01/2012,Operating,04/27/2016,76300000,1.56,76.3,1.216
373,LegalZoom,670,"LegalZoom, Dell, Hewlett Packard Enterprise, Yahoo! Inc., Yodle","Austin Community College, The University of Texas at Austin, Texas State University, University of Southern California, University of California Los Angeles",Professional Services,"Glendale, California, United States",1288,Series Unknown,,311000000,-2.7,"Legal, Professional Services, Consulting",12/01/1999,Operating,11/10/2014,311000000,3.02,311,0.83
374,Hampton Creek,163,"Hampton Creek, General Mills, University of California, Berkeley, CytoSport Inc., Mondelēz International","University of California Berkeley, University of California Davis, University of California Santa Cruz, San Francisco State University, San Jose State University",Food and Beverage,"San Francisco, California, United States",1302,Series D,"$100,000,000",220000000,1.3,"Food Processing, Innovation Management, Food and Beverage",01/01/2011,Operating,08/16/2016,220000000,1.25,220,1.23
375,Mashape,40,"Symantec, VMware, OpenDNS - now a part of Cisco, New Relic Inc., Atos","Pontifícia Universidade Católica do Rio de Janeiro, Università degli Studi di Milano, Stanford University, University of California Berkeley, University of California Santa Cruz","Information Technology, Software, Internet Services","San Francisco, California, United States",1304,Series B,"$18,000,000",26101000,-1.3,"Enterprise Software, Cloud Computing, Developer APIs, Cloud Data Services",01/01/2010,Operating,03/23/2017,26101000,0.65,26.101,0.897
376,Wonga,397,"Wonga, Citi, Lloyds Banking Group, Harrods, RSA","University of South Africa/Universiteit van Suid-Afrika, University of Warsaw, SGH Warsaw School of Economics, University of Cape Town, Damelin","Financial Services, Lending and Investments","London, England, United Kingdom",1305,Series C,"£73,000,000",145567448,1.4,"Finance, FinTech, Risk Management, Financial Services, Credit",01/01/2006,Operating,02/16/2011,145567448,6.76,145.567,0.786
377,ClearSlide,158,"ClearSlide, Microsoft, Yahoo! Inc., Marin Software, iHeartMedia","Stanford University, University of California Berkeley, San Jose State University, Santa Clara University, University of Southern California","Information Technology, Software, Sales and Marketing","San Francisco, California, United States",1306,Series C,"$50,000,000",89000000,4.1,"Enterprise Software, Sales Automation, SaaS, Marketing",10/07/2009,Operating,02/27/2014,89000000,3.72,89,1.257
378,Blue Bottle Coffee,261,"Blue Bottle Coffee, Starbucks, Apple, Whole Foods Market, The Boston Consulting Group (BCG)","San Francisco State University, University of California Berkeley, University of California Davis, University of California Los Angeles, City College of San Francisco","Commerce and Shopping, Food and Beverage","Oakland, California, United States",1311,Series C,"$74,958,000",120658000,-2.3,"E-Commerce, Food and Beverage, Coffee",01/01/2002,Operating,06/04/2015,120658000,2.46,120.658,0.844
380,Compass,4343,"Compass Group USA, Compass Group, Aramark, Sodexo, Bank of America","Johnson & Wales University, The Culinary Institute of America, University of North Carolina at Charlotte, University of Phoenix, Central Piedmont Community College","Hardware, Information Technology, Consumer Electronics, Sales and Marketing","Netanya, HaMerkaz, Israel",2587,Series G,"$25,000,000",176534800,7.1,"Information Technology, Computer, Public Relations",01/01/2006,Operating,11/15/2014,176534800,3.01,176.535,0.827
382,Within,53,"Electronic Arts (EA), Google, Vrideo, ForceBrands - BevForce | FoodForce | BeautyForce, Carnegie Mellon University","University of Southern California, Boston University, Carnegie Mellon University, Columbia College Chicago, New York University","Apps, Hardware, Software","Los Angeles, California, United States",1317,Series B,"$40,000,000",52600000,4.2,"Apps, Virtual Reality, Software",,Operating,07/26/2017,52600000,0.31,52.6,1.049
383,Fundbox,147,"Intuit, Fundbox, Israel Defense Forces, Demandforce, IDF","Tel Aviv University, The Hebrew University of Jerusalem, San Francisco State University, Stanford University, Technion - Israel Institute of Technology","Data and Analytics, Software, Payments, Financial Services","San Francisco, California, United States",1318,Series C,"$50,000,000",107500000,-0.6,"Payments, Enterprise Software, Business Intelligence, FinTech",02/01/2012,Operating,09/10/2015,107500000,2.19,107.5,0.854
384,Xapo,57,"Lemon Wallet, Core Security, UBS, IBM, LinkedIn","University of Buenos Aires, UADE, Universidad de Belgrano, Universidad de 'San Andrés'​, Universidad Tecnológica Nacional","Software, Payments, Financial Services",,1323,Series A,"$20,000,000",40000000,-0.8,"Financial Services, Bitcoin",01/01/2012,Operating,07/08/2014,40000000,3.36,40,0.813
385,Innovid,206,"Innovid, Vindico, PointRoll, a TEGNA company, Sizmek, Sizmek (formerly MediaMind)","Tel Aviv University, The Academic College of Tel-Aviv, Yaffo, Technion - Israel Institute of Technology, Ben-Gurion University of the Negev, New York University","Media and Entertainment, Internet Services, Video, Content and Publishing, Advertising","New York, New York, United States",1344,Series D,"$15,000,000",65100000,-2.7,"Ad Targeting, Internet, Video, Advertising Platforms, Publishing",07/01/2007,Operating,12/23/2015,52600000,1.9,52.6,0.771
386,CloudBees,242,"Red Hat, CloudBees, IBM, Oracle, Hewlett Packard Enterprise","Universidad de Sevilla, North Carolina State University, Virginia Tech, De Anza College, San Jose State University","Software, Internet Services","San Jose, California, United States",1359,Series D,"$23,500,000",51200000,1.5,"Cloud Computing, Software, Enterprise Software",04/01/2010,Operating,01/27/2015,51200000,2.81,51.2,0.829
387,Wizeline,296,"Wizeline, Hewlett Packard Enterprise, Oracle, Ooyala, IBM","Tecnológico de Monterrey, ITESO Universidad Jesuita de Guadalajara, Wizeline Academy, Universidad de Guadalajara, Universidad del Valle de Atemajac",Data and Analytics,"San Francisco, California, United States",1361,Private Equity,,19100000,6.1,"B2B, Business Intelligence, Analytics",11/01/2013,Operating,08/15/2017,19100000,0.26,19.1,0.899
390,Reverb.com,162,"Groupon, Reverb.com, Grubhub, Dev Bootcamp, Northwestern University","DePaul University, Columbia College Chicago, Northwestern University, University of Illinois at Urbana-Champaign, Valparaiso University",Commerce and Shopping,"Tianjin, Guangdong, China",31371,Series Unknown,"$11,000,000",11000000,1.2,"Shopping, Retail, E-Commerce",01/01/2010,Operating,12/28/2010,11000000,6.89,11,0.782
391,Imgur,78,"Imgur, Microsoft, PriceGrabber.com, AOL, Yahoo! Inc.","Ohio University, San Francisco State University, University of California Berkeley, University of California Los Angeles, University of Central Florida","Media and Entertainment, Internet Services","San Francisco, California, United States",1366,Series A,"$40,000,000",40000000,-1.4,"Digital Entertainment, Internet, Social Media",02/01/2009,Operating,04/03/2014,40000000,3.63,40,0.808
392,AirMap,51,"Nokia, Google, BAE Systems, TrueCar Inc., United States Air Force","University of Southern California, Massachusetts Institute of Technology, University of California Berkeley, Kingston University - Company, General Assembly","Science and Engineering, Hardware, Navigation and Mapping, Consumer Electronics, Data and Analytics, Software, Transportation, Consumer Goods","Santa Monica, California, United States",1374,Series B,"$26,000,000",43600000,-1.5,"Navigation, Autonomous Vehicles, Aerospace, Robotics, Drones, Big Data",12/01/2014,Operating,02/23/2017,43600000,0.73,43.6,1.047
393,Callsign,64,"Cisco, Lloyds Banking Group, Atos, BAE Systems Applied Intelligence, HSBC","Universitat Politècnica de València (UPV), The University of Manchester, University of Southampton, University College Dublin, Masaryk University Brno","Apps, Science and Engineering, Data and Analytics, Software, Artificial Intelligence, Mobile","London, England, United Kingdom",1376,Series A,"$35,000,000",38750000,8.1,"Mobile Apps, Apps, Artificial Intelligence",01/01/2012,Operating,07/27/2017,38750000,0.31,38.75,0.899
394,Lattice Engines,129,"Lattice Engines, Oracle, The Boston Consulting Group (BCG), IBM, Microsoft","University of California Berkeley, University of California Santa Barbara, University of Michigan, Texas A&M University, Stanford University","Science and Engineering, Information Technology, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence","San Mateo, California, United States",1377,Series D,"$28,000,000",64700000,-0.4,"CRM, Analytics, Artificial Intelligence, Marketing, Data Integration, Predictive Analytics",01/01/2006,Operating,06/10/2015,64700000,2.44,64.7,1.18
395,Course Hero,358,"Course Hero, IBM, Stanford University, Pomona College, University of California, Los Angeles","University of California Berkeley, University of California Davis, Stanford University, San Francisco State University, University of California Los Angeles","Software, Education, Internet Services","Redwood City, California, United States",1403,Series A,"$15,000,000",17393000,4.1,"Crowdsourcing, E-Learning, Education, Internet",10/01/2006,Operating,11/11/2014,17393000,3.02,17.393,1.159
398,Datto,690,"Datto Inc., Verizon Wireless, Unisys, Xerox, FactSet","Rochester Institute of Technology, Monroe Community College, University of Connecticut, Southern Connecticut State University, Norwalk Community College","Information Technology, Data and Analytics, Software, Internet Services","San Jose, California, United States",3579,Series Unknown,,15250000,-1.8,"Cloud Computing, Enterprise Software, Big Data, Cloud Data Services",06/01/2014,Operating,05/10/2017,15250000,0.52,15.25,0.898
399,Paxata,122,"MicroStrategy, IBM, Guidewire Software, Oracle, Informatica","San Jose State University, The Ohio State University, Stanford University, University of California Berkeley, Carnegie Mellon University","Hardware, Information Technology, Data and Analytics, Software, Internet Services","Redwood City, California, United States",1432,Series D,"$33,500,000",60992752,-0.6,"Data Integration, Private Cloud, Analytics, Software",05/29/2012,Operating,10/24/2016,60992752,1.07,60.993,0.892
400,Puppet,565,"Puppet, Microsoft, Cisco, IBM, Hewlett Packard Enterprise","Portland State University, University of Oregon, Oregon State University, Reed College, Queen's University  Belfast","Information Technology, Data and Analytics, Software","Portland, Oregon, United States",1445,Debt Financing,"$22,000,000",107500000,-2.7,"Information Technology, Application Performance Management, Information Services, Infrastructure, Software",01/01/2005,Operating,01/20/2016,85500000,1.83,85.5,0.868
401,Vroom,242,"Vroom, Priceline.com, Avis Budget Group, Amazon, Zappos Family of Companies","University of Houston, General Assembly, University of Houston-Downtown, Universidad Pontificia Bolivariana, Fullstack Academy of Code","Commerce and Shopping, Transportation, Financial Services","New York, New York, United States",1452,Series F,"$76,000,000",329250000,-0.3,"E-Commerce, Customer Service, FinTech, Automotive",08/01/2013,Operating,07/14/2017,294250000,0.35,294.25,0.906
402,1mg,324,"1mg, Zomato, Info Edge India Ltd, HealthKart, McKinsey & Company","Kendriya Vidyalaya, Birla Institute of Technology and Science, Pilani, Indian Institute of Technology Delhi, Indira Gandhi National Open University, Indian Institute Of Information Technology","Commerce and Shopping, Health Care, Internet Services","Gurgaon, Haryana, India",1457,Series C,"$15,000,000",47000000,-0.1,"E-Commerce, Retail, Internet, Health Care",01/01/2012,Operating,07/26/2017,47000000,0.31,47,0.806
403,PLASTIQ,48,"Fidelity Investments, Plastiq, PayPal, Square, Visa","San Francisco State University, Harvard University, Stanford University, University of Toronto, San Jose State University","Commerce and Shopping, Payments, Financial Services","San Francisco, California, United States",1458,Series B,"$16,000,000",45349996,6.7,"Payments, E-Commerce, Financial Services, FinTech",01/01/2012,Operating,08/10/2017,45349996,0.27,45.35,0.899
404,Confluent,163,"LinkedIn, IBM, Cloudera, Cisco, Oracle","University of California Santa Cruz, Stanford University, Carnegie Mellon University, San Jose State University, University of Virginia","Data and Analytics, Software","Palo Alto, California, United States",1459,Series C,"$50,000,000",80900000,-1.4,"Software, Big Data, Enterprise Software, Open Source",09/23/2014,Operating,03/07/2017,80900000,0.7,80.9,0.898
405,Amitree,14,"Dapper, Yahoo! Inc., Microsoft, Oracle, Dev Bootcamp","Northwestern University, Cornell University, Rhodes University, University of Roehampton, California State University - East Bay","Real Estate, Financial Services","San Francisco, California, United States",1463,Series A,"$7,128,000",19828000,8.1,"Real Estate Investment, Service Industry, Real Estate",11/05/2012,Operating,08/25/2017,19828000,0.23,19.828,0.899
406,Zenreach,244,"Zenreach, Yelp, Zenefits, BlackBerry, University of Arizona","Arizona State University, University of Arizona, University of Waterloo, Northern Arizona University, Grand Canyon University","Information Technology, Software, Sales and Marketing","San Francisco, California, United States",1464,Series C,"$30,000,000",80000000,-1,"Software, Email Marketing, CRM, Marketing Automation",01/01/2012,Operating,03/23/2017,80000000,0.65,80,0.899
407,RealtyShares,130,"RealtyShares, Wells Fargo, LendingClub, Morgan Stanley, Fisher Investments","San Francisco State University, University of California Berkeley, University of California Davis, General Assembly, University of California Berkeley Haas School of Business","Real Estate, Financial Services","San Francisco, California, United States",1466,Debt Financing,"$11,900,000",77600000,-2.7,"Financial Services, Real Estate Investment, Crowdfunding, Real Estate",04/01/2013,Operating,06/21/2017,35700000,0.41,35.7,0.899
408,Bloom Energy,1064,"Bloom Energy, NUMMI, APC by Schneider Electric, US Navy, Intel Corporation","San Jose State University, California Polytechnic State University-San Luis Obispo, Stanford University, University of California Berkeley, Mission College","Natural Resources, Energy, Sustainability","Sunnyvale, California, United States",1467,Convertible Note,"$130,000,000",825700000,-1.5,"Wind Energy, Oil and Gas, Energy, CleanTech",01/01/2001,Operating,01/27/2015,825700000,2.81,825.7,0.851
409,Exabeam,151,"Imperva, Hewlett Packard Enterprise, Oracle, IBM, Q1 Labs (IBM Security)","University of California Berkeley, Stanford University, University of California Davis, University of California Santa Cruz, National Technical University of Ukraine 'Kyiv Polytechnic Institute'​","Information Technology, Privacy and Security","San Mateo, California, United States",1471,Series C,"$30,000,000",65000000,-0.9,"Cyber Security, Security, Information Technology",01/01/2013,Operating,02/07/2017,65000000,0.78,65,1.235
410,Domino Data Lab,72,"Bridgewater Associates, FactSet, Platfora (Acquired by Workday), Oracle, CloudPassage","Massachusetts Institute of Technology, University of California Berkeley, Harvard University, University of Arizona, San Francisco State University","Information Technology, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",1475,Series Unknown,"$27,000,000",40600000,-2.1,"Software, Data Mining, Analytics, Machine Learning",01/01/2013,Operating,04/26/2017,40600000,0.56,40.6,0.912
411,Cafe Coffee Day,2274,"Cafe Coffee Day, McDonald's, Domino's, Pizza Hut, Barista Coffee Company Limited","Delhi University, Kendriya Vidyalaya, Bangalore University, Indira Gandhi National Open University, Institute of Hotel Management","Commerce and Shopping, Food and Beverage","Bangalore, Karnataka, India",1480,Series Unknown,"$51,000,000",71000000,1.3,"Coffee, Retail, Food and Beverage",01/01/1996,Operating,10/14/2015,71000000,2.1,71,0.857
412,Panzura,120,"NetApp, Hewlett Packard Enterprise, Dell EMC, HP, Cisco","San Jose State University, Santa Clara University, University of Pune, University of California Davis, Peking University","Information Technology, Software, Internet Services","Campbell, California, United States",1484,Series E,"$32,000,000",90000000,4.1,"Cloud Storage, Cloud Data Services, Software",07/01/2008,Operating,01/10/2017,90000000,0.85,90,0.897
413,Sift Science,123,"Google, Twilio Inc., Sift Science, Microsoft, Amazon","University of California Berkeley, Stanford University, University of Washington, University of Illinois at Urbana-Champaign, California Polytechnic State University-San Luis Obispo","Commerce and Shopping, Data and Analytics, Software, Payments, Privacy and Security, Financial Services, Artificial Intelligence","San Francisco, California, United States",1486,Series C,"$30,000,000",53600000,-1.8,"Security, E-Commerce, Big Data, Fraud Detection, Machine Learning, FinTech",06/01/2011,Operating,07/19/2016,53600000,1.33,53.6,1.23
414,Livongo,157,"Allscripts, Livongo, Shutterfly Inc., GE Healthcare, Castlight Health","University of California Berkeley, Stanford University, Massachusetts Institute of Technology, Loyola University Chicago, Northwestern University","Information Technology, Health Care","Mountain View, California, United States",1490,Series D,"$52,500,000",143200001,-0.6,"Health Diagnostics, Information Technology, Health Care",01/01/2014,Operating,03/16/2017,143200001,0.67,143.2,1.238
415,Agari,101,"Cisco, AppSense, Agari, Interwoven, Oracle","San Jose State University, Stanford University, University of California Berkeley, University of California San Diego, Rutgers University","Information Technology, Privacy and Security","San Mateo, California, United States",1491,Series D,"$22,000,000",44700000,-0.4,"SaaS, Network Security, Cyber Security, Security",01/01/2009,Operating,05/24/2016,44700000,1.48,44.7,0.88
417,Canary,85,"Canary (canary.is), BlackBerry, Massachusetts Institute of Technology, Kaleidoscope Innovation and Product Design, GE","University of California Berkeley, Stanford University, Northeastern University, Rutgers University, Cornell Johnson Graduate School of Management","Apps, Travel and Tourism, Commerce and Shopping, Food and Beverage, Software, Internet Services","New Delhi, Delhi, India",7156,Debt Financing,"₹150,000,000",22241811,-0.5,"Apps, Restaurants, E-Commerce, Travel, Internet",01/01/2011,Operating,09/13/2016,20000000,1.18,20,1.226
418,ClassDojo,72,"Levi Strauss & Co., Facebook, Yahoo! Inc., McKinsey & Company, Teach For America","Massachusetts Institute of Technology, University of Cambridge, Cornell University, University of California Davis, New York University","Software, Education","San Francisco, California, United States",1493,Series B,"$21,000,000",31100000,0.7,"Education, Knowledge Management, EdTech",06/01/2011,Operating,04/15/2016,31100000,1.59,31.1,0.876
419,VTS,288,"VTS Group, Johnson Controls, Promeco Group Oy, Trane, Carrier Corporation","Gdańsk University of Technology, University of Gdansk, Budapest University of Technology and Economics, Kendriya Vidyalaya, Belarusian National Technical University","Real Estate, Software","New York, New York, United States",1496,Series C,"$55,000,000",110360000,-0.7,"Enterprise Software, Real Estate, SaaS, Commercial Real Estate",01/01/2011,Operating,05/04/2016,110360000,1.54,110.36,0.88
420,Black Duck Software,427,"Black Duck Software, Citrix, Deloitte UK, Oracle, RSA Security","Northeastern University, University of Massachusetts Lowell, University of New Hampshire, Queen's University  Belfast, Boston University","Information Technology, Software, Privacy and Security","Burlington, Massachusetts, United States",1500,Series Unknown,,75500000,-0.2,"Open Source, Cyber Security, Software",01/01/2002,Operating,07/18/2016,71000000,1.33,71,0.886
421,SafeBreach,55,"Israel Defense Forces, Cisco, Trusteer (IBM Security), IBM, Imperva","Ben-Gurion University of the Negev, Technion - Israel Institute of Technology, Bar-Ilan University, The Hebrew University of Jerusalem, IDC Herzliya","Information Technology, Privacy and Security","Sunnyvale, California, United States",1503,Series A,"$15,000,000",19000000,0,"Cyber Security, Security, Network Security",01/01/2014,Operating,07/26/2016,19000000,1.31,19,0.885
423,Forter,90,"Israel Defense Forces, PayPal, Forter, IAF - Israeli Air Force, IDF","Tel Aviv University, Bar-Ilan University, Technion - Israel Institute of Technology, Ben-Gurion University of the Negev, The Hebrew University of Jerusalem","Commerce and Shopping, Data and Analytics, Payments, Privacy and Security, Financial Services","New York, New York, United States",1513,Series C,"$32,000,000",50000000,0,"E-Commerce, SaaS, Analytics, FinTech, Fraud Detection",01/01/2013,Operating,04/21/2016,50000000,1.58,50,0.877
424,NIO,1166,"Ford Motor Company, FCA Fiat Chrysler Automobiles, Apple, Tesla, Cisco","Tongji University, San Jose State University, Shanghai Jiao Tong University, Shanghai University, Tsinghua University","Hardware, Consumer Electronics, Transportation","Shanghai, Shanghai, China",1514,Series Unknown,"$600,000,000",1100000000,-1.2,"Transportation, Electric Vehicle, Electronics, Automotive",01/01/2014,Operating,03/16/2017,1100000000,0.67,1100,0.928
425,BlackBuck,29,"Disney Consumer Products and Interactive, DHL, Hofincons Infotech & Industrial Services - A Division of Quess Corp Limited, Deloitte, PickQuick","Faculty of Management Studies - University of Delhi, Annamalai University, Dharmsinh Desai University, Indian Institute of Technology Delhi, Indian Institute of Technology Kharagpur","Information Technology, Transportation","Bangalore, Karnataka, India",1521,Series C,"$70,000,000",100000000,1.4,"Transportation, Information Technology, Logistics, Information Services",01/01/2015,Operating,03/21/2017,100000000,0.66,100,0.899
426,UnifyID,23,"Gemalto, Symphony.com, Apple, Claremont McKenna College, Emory University","Stanford University, Massachusetts Institute of Technology, Udacity, University of California Berkeley, University of Minnesota-Twin Cities","Information Technology, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","San Francisco, California, United States",1523,Series A,"$20,000,000",20000000,9.5,"Identity Management, Enterprise Software, Machine Learning, Information Technology",03/01/2015,Operating,08/01/2017,20000000,0.3,20,1.349
427,Digit,2284,"DigitasLBi North America, DigitasLBi_UK, Arnold Worldwide, Leo Burnett, Campbell Ewald","Boston University, Northeastern University, Northwestern University, University of Michigan, Michigan State University","Payments, Financial Services","San Francisco, California, United States",1526,Series B,"$22,500,000",36300000,-1.1,"Financial Services, Finance, Payments",01/01/2013,Operating,06/02/2016,36300000,1.46,36.3,0.881
428,Grofers,2000,"Grofers, Flipkart, Zomato, Spencer's Retail Limited, SpoonJoy","Delhi University, University of Pune, University of Mumbai, Kendriya Vidyalaya, Maharshi Dayanand University","Commerce and Shopping, Food and Beverage, Internet Services","Gurgaon, Haryana, India",1527,Series C,"$120,000,000",165500000,-2.2,"Grocery, Internet, Retail, E-Commerce",12/27/2013,Operating,11/26/2015,165500000,1.98,165.5,0.864
429,MyHeritage,280,"MyHeritage, Israel Defense Forces, Amdocs, Perion Network, BackWeb Technologies","Tel Aviv University, The Hebrew University of Jerusalem, Bar-Ilan University, The Academic College of Tel-Aviv, Yaffo, Ben-Gurion University of the Negev","Apps, Media and Entertainment, Software, Internet Services","Or Yehuda, Tel Aviv, Israel",1531,Series E,"$25,000,000",49000000,0.4,"Apps, Social Media, Internet",01/01/2003,Operating,11/28/2012,49000000,4.97,49,0.697
430,Opal,400,"Reliance Industries Limited, Haldia Petrochemicals Ltd, Opal, Essar, SRF Limited","Dharmsinh Desai University, The Maharaja Sayajirao University of Baroda, Anna University, Jadavpur University, Kendriya Vidyalaya","Software, Sales and Marketing","Portland, Oregon, United States",1533,Series B,"$15,500,000",25600000,2.6,"Software, Brand Marketing, Enterprise Software, Collaboration",01/01/2011,Operating,02/16/2017,25600000,0.75,25.6,0.896
431,Namely,366,"Namely, Paychex, TriNet, Salesforce, Intuit","New York University, Rutgers University, Baruch College, Stony Brook University, University of Phoenix","Information Technology, Software","New York, New York, United States",1538,Series D,"$50,000,000",157800000,-0.8,"Management Information Systems, Human Resources, Enterprise Software, Software",01/01/2011,Operating,01/05/2017,157800000,0.87,157.8,0.898
432,Zoomdata,108,"MicroStrategy, AOL, Booz Allen Hamilton, Zoomdata, SAP","University of Maryland College Park, National Technical University of Ukraine 'Kyiv Polytechnic Institute'​, George Mason University, Virginia Tech, Penn State University","Information Technology, Data and Analytics, Software, Design","Reston, Virginia, United States",1549,Funding Round,,47199999,-0.9,"Enterprise Software, Collaboration, Data Visualization, Analytics, Big Data",09/01/2012,Operating,09/11/2016,47199999,1.18,47.2,0.889
433,Shapeways,236,"Shapeways, MakerBot®, American Express, Eindhoven University of Technology, XPO Logistics - Supply Chain","Eindhoven University of Technology, Summa College, Massachusetts Institute of Technology, Fontys Hogescholen, University of Illinois at Urbana-Champaign","Manufacturing, Commerce and Shopping","New York, New York, United States",1562,Series D,"$30,000,000",77500000,-1.4,"E-Commerce, Marketplace, Manufacturing, 3D Printing",03/01/2007,Operating,06/30/2015,76300000,2.39,76.3,0.845
434,Skyhigh Networks,369,"Cisco, Skyhigh Networks, Symantec, Yahoo! Inc., VMware","San Jose State University, Visvesvaraya Technological University, Stanford University, Birla Institute of Technology and Science, Pilani, Jawaharlal Nehru Technological University","Information Technology, Software, Privacy and Security, Financial Services","Campbell, California, United States",1563,Series D,"$40,000,000",106500000,-1,"Cloud Security, FinTech, Enterprise Software, Cyber Security",01/01/2011,Operating,09/25/2016,106500000,1.15,106.5,0.798
435,Periscope Data,126,"Box, Periscope Data Inc., New Relic Inc., BrightTALK, Google","University of California Berkeley, University of California Santa Barbara, California State University Chico, Santa Clara University, University of Rochester",Data and Analytics,"San Francisco, California, United States",1564,Series B,"$25,000,000",34500000,-0.9,"SaaS, Analytics, Big Data, B2B",01/01/2012,Operating,11/04/2016,34500000,1.04,34.5,1.23
436,Vidyard,205,"BlackBerry, Vidyard, D2L, Hootsuite, University of Waterloo","University of Waterloo, Conestoga College, Wilfrid Laurier University, University of Guelph, Queen's University","Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Video","Kitchener, Ontario, Canada",1566,Series C,"$35,000,000",60650000,-0.7,"Video, Enterprise Software, Cloud Computing, SaaS, Marketing Automation, E-Commerce, Analytics, Big Data",09/01/2011,Operating,01/26/2016,60650000,1.81,60.65,1.131
437,Amino,58,"LaunchSquad, Oracle, Zillow, RentJuice Corp., UV Partners Inc.","University of California Berkeley, Boston University, University of Adelaide, Harvard University, Indian Institute of Technology Bombay","Health Care, Financial Services, Mobile","San Francisco, California, United States",1567,Series C,"$25,000,000",45000000,-0.7,"Health Insurance, Service Industry, Health Care, Mobile",01/01/2013,Operating,04/04/2017,45000000,0.62,45,1.235
438,Micromax Informatics,1664,"Micromax Informatics Ltd, airtel, Nokia, Samsung Electronics, LG Electronics","Delhi University, Kendriya Vidyalaya, Uttar Pradesh Technical University, Sikkim Manipal University - Distance Education, Punjab Technical University","Hardware, Consumer Electronics, Mobile","Gurgaon, Haryana, India",1570,Secondary Market,,88000000,-4.2,"Mobile, Consumer Electronics, Wireless",01/01/1991,Operating,04/20/2017,88000000,0.58,88,0.899
439,Delphix,424,"Oracle, Delphix, Sun Microsystems, Hewlett Packard Enterprise, VMware","Brown University, San Jose State University, University of California Berkeley, Massachusetts Institute of Technology, Carnegie Mellon University","Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software","Redwood City, California, United States",1571,Series D,"$75,000,000",119500000,-1.2,"Virtualization, Database, Application Performance Management, Computer",06/01/2008,Operating,07/13/2015,119500000,2.35,119.5,0.848
440,UrbanClap,513,"UrbanClap, HCL Technologies, Cvent, Vizury, The Boston Consulting Group (BCG)","Delhi University, Guru Gobind Singh Indraprastha University, Kendriya Vidyalaya, Indira Gandhi National Open University, Shaheed Sukhdev College Of Business Studies","Apps, Information Technology, Software","Delhi, Delhi, India",1573,Series C,"$21,000,000",60693557,-1.9,"Information Technology, Information Services, Apps",10/01/2014,Operating,07/03/2017,57600000,0.38,57.6,0.899
442,ZestFinance,94,"ZestFinance, Google, Marine Corps Recruiting, Yahoo! Inc., Markit","University of California Los Angeles, Stanford University, University of Southern California, UCLA Extension, Universidad Autónoma de Baja California","Internet Services, Financial Services","Shenzhen, Guangdong, China",3672,Series C,"$118,000,000",211000000,4,"FinTech, Finance, Internet",01/01/2014,Operating,07/10/2017,211000000,0.36,211,0.904
444,Zumper,91,"Zumper, Google, RentPath, Microsoft, Scoop.it","University of California Berkeley, Stanford University, Claremont McKenna College, University of Cambridge, Massachusetts Institute of Technology","Commerce and Shopping, Real Estate","San Francisco, California, United States",1586,Series B,"$17,600,000",31500000,0.4,"Real Estate, Rental, B2B, Property Management",01/01/2012,Operating,10/18/2016,31500000,1.08,31.5,1.229
