Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date
Flatiron Health,https://www.crunchbase.com/organization/flatiron-health,"Software, Health Care, Internet Services","New York, New York, United States",Flatiron is a cloud-based technology platform dedicated to improving cancer care.,229,http://flatiron.com,Series C,"$175,000,000","$313,000,000",-0.1,251-500,"Internet, Cloud Computing, Health Care",01/01/2012,Operating,01/06/2016
Planet,https://www.crunchbase.com/organization/planet-labs,"Science and Engineering, Navigation and Mapping, Data and Analytics","San Francisco, California, United States",Planet builds small satellites and delivers information about the changing planet.,231,http://www.planet.com/,Series C,"$23,000,000","$183,100,000",-0.8,251-500,"Geospatial, Aerospace, Analytics",12/24/2010,Operating,04/14/2015
New Relic,https://www.crunchbase.com/organization/new-relic,"Information Technology, Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States","New Relic is a leading digital intelligence company, delivering full-stack visibility and analytics to enterprises around the world.",232,http://newrelic.com,Private Equity,"$100,000,000","$214,500,000",0.1,1001-5000,"Cloud Computing, SaaS, Application Performance Management, Software, Mobile, Analytics, IT Infrastructure",02/01/2008,IPO,04/28/2014
Mobike,https://www.crunchbase.com/organization/mobike,"Apps, Travel and Tourism, Software, Transportation, Mobile","Shanghai, Shanghai, China",Mobike offers shared bicycle sevices and a mobile app that allows users to locate mobikes nearby.,236,http://mobike.com/,Series E,"$600,000,000","$925,000,000",7.5,251-500,"Travel, Mobile Apps, Ride Sharing, Transportation",12/01/2015,Operating,06/15/2017
Automattic,https://www.crunchbase.com/organization/automattic,"Media and Entertainment, Internet Services, Content and Publishing","San Francisco, California, United States","Automattic develops publishing platforms, including the WordPress.com website and the VIP WordPress.com cloud version.",240,http://automattic.com,Series C,"$160,000,000","$317,300,000",1.7,501-1000,"Blogging Platforms, Internet, Content",07/01/2005,Operating,05/05/2014
SnapLogic,https://www.crunchbase.com/organization/snaplogic,"Information Technology, Data and Analytics, Software, Internet Services","San Mateo, California, United States","SnapLogic connects big data, cloud, and on-prem applications.",243,http://www.snaplogic.com,Series F,"$40,000,000","$136,299,998",0.3,101-250,"Data Integration, Cloud Data Services, Enterprise Software, SaaS, Cloud Computing, Internet",01/01/2006,Operating,12/07/2016
InMobi,https://www.crunchbase.com/organization/inmobi,"Sales and Marketing, Mobile, Advertising","Bangalore, Karnataka, India","InMobi is a mobile-first platform allowing brands, developers and publishers to engage consumers through mobile advertising.",244,http://www.inmobi.com,Debt Financing,"$100,000,000","$320,600,000",-0.3,501-1000,"Marketing, Mobile, Advertising",01/01/2007,Operating,09/29/2015
Barracuda Networks,https://www.crunchbase.com/organization/barracuda-networks,"Hardware, Information Technology, Software, Internet Services, Privacy and Security","Campbell, California, United States","E-mail security, network security, content security, application delivery, and data protection solutions.",250,http://www.barracuda.com,Grant,"$750,000","$46,360,000",5.1,501-1000,"Virtualization, Security, Enterprise Software, Cloud Data Services",01/01/2003,IPO,05/18/2017
Freshly,https://www.crunchbase.com/organization/freshly,"Commerce and Shopping, Food and Beverage, Transportation, Internet Services","New York, New York, United States","Freshly delivers gourmet ready-made meals, prepared and delivered to the your door.",251,https://www.freshly.com/,Series C,"$77,000,000","$107,000,000",8.8,251-500,"Internet, Food Delivery, E-Commerce",01/01/2012,Operating,06/20/2017
MapD,https://www.crunchbase.com/organization/mapd,"Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",The fastest big data exploration platform,255,http://mapd.com,Series B,"$25,000,000","$37,100,000",-1.5,11-50,"Big Data, Analytics, Data Visualization",09/01/2013,Operating,03/29/2017
Algolia,https://www.crunchbase.com/organization/algolia,"Commerce and Shopping, Data and Analytics, Software, Internet Services","San Francisco, California, United States","Algolia's hosted search API helps product builders create lightning-fast, highly relevant search to connect their users with what matters.",257,https://www.algolia.com,Series B,"$53,000,000","$74,222,067",6.1,101-250,"Big Data, Cloud Computing, SaaS, E-Commerce, Software, Enterprise Software, Search Engine",10/10/2012,Operating,06/07/2017
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,"Hardware, Information Technology, Software, Internet Services","New York, New York, United States","DigitalOcean is the world’s simplest, fastest and most competitively priced cloud hosting service built for developers.",260,http://www.digitalocean.com,Secondary Market,,"$305,405,800",-0.2,251-500,"Cloud Computing, Web Hosting, Virtualization",06/24/2011,Operating,01/31/2017
MarkLogic,https://www.crunchbase.com/organization/marklogic,"Media and Entertainment, Software, Internet Services","San Carlos, California, United States","MarkLogic is a software business that offers a NoSQL database, a platform for handling big data applications.",265,http://www.marklogic.com,Funding Round,,"$173,225,481",4.2,101-250,"Web Development, Enterprise Software, Content, Search Engine",01/01/2001,Operating,05/31/2017
Payoneer,https://www.crunchbase.com/organization/payoneer,"Commerce and Shopping, Payments, Internet Services, Financial Services, Mobile","New York, New York, United States","Payoneer empowers global commerce by connecting businesses, professionals, countries and currencies with its cross-border payment platform.",266,http://www.payoneer.com,Series E,"$180,000,000","$270,000,000",2.9,501-1000,"B2B, Finance, Payments, Internet, Mobile, E-Commerce, FinTech",04/01/2005,Operating,10/05/2016
Bitly,https://www.crunchbase.com/organization/bitly,"Media and Entertainment, Data and Analytics, Sales and Marketing, Internet Services, Content and Publishing","New York, New York, United States",Bitly is a link management platform that helps brands deliver and measure their marketing efforts across all channels.,267,http://bitly.com,Series Unknown,"$15,000,000","$31,400,000",6.2,51-100,"Brand Marketing, Publishing, Analytics, Social Media",07/08/2008,Operating,07/10/2012
Drawbridge Inc.,https://www.crunchbase.com/organization/drawbridge,"Information Technology, Data and Analytics, Sales and Marketing, Privacy and Security, Mobile, Advertising","San Mateo, California, United States",Drawbridge is the largest independent cross-device identity company that enables brands to have seamless conversations with consumers.,268,http://www.drawbridge.com,Series C,"$25,000,000","$45,500,000",1.4,101-250,"Ad Targeting, Digital Marketing, Identity Management, Advertising, Mobile, SaaS, Analytics, Personalization",11/01/2010,Operating,05/05/2016
Birchbox,https://www.crunchbase.com/organization/birchbox,"Commerce and Shopping, Consumer Goods, Internet Services","New York, New York, United States","Birchbox is a discovery commerce platform offering a personalized method for discovering, learning and shopping for products in the market.",275,http://www.birchbox.com,Series C,"$15,000,000","$86,900,000",-0.4,251-500,"Internet, E-Commerce, Beauty",01/01/2010,Operating,08/02/2016
Amazon,https://www.crunchbase.com/organization/amazon,"Commerce and Shopping, Software, Administrative Services, Internet Services","Seattle, Washington, United States","Amazon.com is an international e-commerce website for consumers, sellers, and content creators.",278,http://amazon.com,Funding Round,"$100,000,000","$108,000,000",4.2,10001+,"Internet, Delivery, Software, E-Commerce, Crowdsourcing, Retail",07/05/1994,IPO,07/24/2001
Shazam,https://www.crunchbase.com/organization/shazam-entertainment,"Platforms, Media and Entertainment, Music and Audio, Software, Internet Services, Mobile","New York, New York, United States","Shazam Entertainment, a media engagement company, offers an app that connects people to the music, TV shows and ads they love.",281,http://www.shazam.com,Series F,"$30,000,000","$143,500,000",-1,251-500,"Ediscovery, Music, Android, iOS",01/01/2000,Operating,02/26/2015
Instacart,https://www.crunchbase.com/organization/instacart,"Commerce and Shopping, Food and Beverage, Administrative Services, Transportation","San Francisco, California, United States",Instacart is a same-day grocery delivery company delivering groceries and home essentials from a variety of local stores.,283,https://www.instacart.com,Series D,"$400,000,000","$674,800,000",3,101-250,"Same Day Delivery, Grocery, E-Commerce, Delivery",07/01/2012,Operating,03/07/2017
Collective Health,https://www.crunchbase.com/organization/collectivehealth,"Information Technology, Data and Analytics, Health Care","San Francisco, California, United States",A smarter way to provide healthcare coverage through technology.,285,http://collectivehealth.com,Series C,"$81,000,000","$119,000,000",4.9,251-500,"Information Technology, Business Intelligence, SaaS, Health Care",10/31/2013,Operating,10/20/2015
Flipboard,https://www.crunchbase.com/organization/flipboard,"Media and Entertainment, Content and Publishing","Palo Alto, California, United States","Flipboard is a social magazine that is available for the Web, iOS, Android, Windows 10, and Windows Phone.",286,http://www.flipboard.com,Series D,"$50,000,000","$210,500,000",-0.6,101-250,"News, Social, Media and Entertainment",12/01/2010,Operating,07/23/2015
Anki,https://www.crunchbase.com/organization/anki,"Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software","San Francisco, California, United States",Anki is an entertainment robotics company dedicated to bringing artificial intelligence and robotics to our everyday lives.,292,http://anki.com,Private Equity,"$52,500,000","$157,500,000",5,51-100,"Robotics, Machine Learning, Artificial Intelligence, Consumer Electronics",01/05/2010,Operating,06/27/2016
Plex,https://www.crunchbase.com/organization/plex,"Apps, Media and Entertainment, Software, Video, Content and Publishing, Mobile","Los Gatos, California, United States","Plex organizes all of your video, music, and photo collections and gives you instant access to them on all of your devices.",293,https://plex.tv,Series B,"$10,000,000","$11,000,000",6.4,,"Mobile Apps, Media and Entertainment, Mobile, Digital Media, Video Streaming",12/03/2009,Operating,03/01/2014
Cadre,https://www.crunchbase.com/organization/cadre-2,"Commerce and Shopping, Real Estate, Financial Services","New York, New York, United States",Cadre is an online marketplace that connects investors and operators of real estate.,297,http://cadre.com,Series C,"$65,000,000","$133,300,000",4.6,11-50,"Financial Services, Real Estate, Marketplace, FinTech",09/11/2014,Operating,06/06/2017
iQiyi,https://www.crunchbase.com/organization/iqiyi,"Media and Entertainment, Video, Content and Publishing","China, Asia","iQiyi is a Chinese ad-supported television and movie portal providing fully-licensed, high-definition media content.",303,http://www.iqiyi.com,Convertible Note,"$1,530,000,000","$1,880,000,000",2.5,501-1000,"TV, Content, Photography",04/22/2010,Operating,02/21/2017
SeatGeek,https://www.crunchbase.com/organization/seatgeek,"Media and Entertainment, Events, Sports, Internet Services","New York, New York, United States","SeatGeek is a ticket search engine that aggregates ticket listings for live sports, concerts, and theater events.",306,https://seatgeek.com,Series D,"$57,000,000","$159,970,000",-1.3,101-250,"Sports, Vertical Search, Ticketing, Concerts, Search Engine",07/01/2009,Operating,04/18/2017
Roblox Corporation,https://www.crunchbase.com/organization/roblox,"Gaming, Software, Internet Services","San Mateo, California, United States","Roblox is a user-generated, immersive 3D online gaming platform that powers the imagination of players around the world.",309,http://www.roblox.com,Series E,"$92,000,000","$99,235,000",-0.5,101-250,"Online Portals, Online Games, Developer Platform, Video Games",03/14/2005,Operating,03/14/2017
Samsara,https://www.crunchbase.com/organization/samsara-2,"Hardware, Consumer Electronics, Software","San Francisco, California, United States","Samsara disrupts the traditional sensor model with an integrated, software-centric solution.",313,http://www.samsara.com,Series C,"$40,000,000","$80,000,000",8.8,101-250,"Sensor, Electronics, Software",01/01/2015,Operating,06/21/2017
Swiggy,https://www.crunchbase.com/organization/swiggy,"Food and Beverage, Transportation, Internet Services","Bangalore, Karnataka, India",Swiggy is an Indian-based company that provides a food ordering and delivery solution from the neighborhood restaurants to the urban foodie.,314,http://www.swiggy.in,Series E,"$80,000,000","$155,500,000",0,1001-5000,"Food Delivery, Internet, Food Processing",08/01/2014,Operating,05/30/2017
HackerOne,https://www.crunchbase.com/organization/hackerone,"Hardware, Information Technology, Consumer Electronics, Internet Services, Privacy and Security","San Francisco, California, United States",HackerOne is empowering the world to build a safer internet.,315,https://hackerone.com,Series C,"$40,000,000","$74,000,000",-1.2,51-100,"Internet, Network Security, Computer",01/01/2012,Operating,02/08/2017
The Honest Company,https://www.crunchbase.com/organization/the-honest-company,"Commerce and Shopping, Food and Beverage, Community and Lifestyle, Health Care","Santa Monica, California, United States","The Honest Company creates effective, safe, eco-friendly, beautiful, convenient, and affordable products for babies and homes.",317,http://www.honest.com,Series D,"$100,000,000","$228,000,000",2.5,251-500,"Lifestyle, E-Commerce, Dietary Supplements",01/01/2011,Operating,08/14/2015
Canva,https://www.crunchbase.com/organization/canva,"Apps, Media and Entertainment, Software, Content and Publishing, Design","Sydney, New South Wales, Australia","Canva facilitates graphic design by providing a drag-and-drop design tool and a library of stock photographs, graphic elements and fonts.",320,http://www.canva.com,Series A,"$15,000,000","$45,955,000",4.2,11-50,"Web Design, Graphic Design, Web Apps, Photo Editing",01/01/2012,Operating,09/14/2016
Optimizely,https://www.crunchbase.com/organization/optimizely,"Data and Analytics, Software, Internet Services","San Francisco, California, United States",Optimizely is a experience optimization platform enabling A/B and multivariate testing for users to enhance their websites & mobile apps.,322,http://optimizely.com,Secondary Market,,"$146,200,000",-1.8,251-500,"Software, A/B Testing, Internet, Personalization",12/01/2009,Operating,03/03/2017
InVision,https://www.crunchbase.com/organization/invision-2,"Apps, Software, Design, Mobile","New York, New York, United States",InVision is an award-winning product design collaboration platform used by over 2 million people worldwide,324,http://www.invisionapp.com,Series D,"$55,000,000","$135,200,000",-0.5,101-250,"Apps, SaaS, Collaboration, Product Design, Mobile, UX Design",06/01/2011,Operating,06/21/2016
Silver Peak,https://www.crunchbase.com/organization/silver-peak,"Hardware, Information Technology, Software, Internet Services","Santa Clara, California, United States",Silver Peak is a technology company that builds high-performance hybrid WAN and SD-WAN software products,327,https://www.silver-peak.com,Debt Financing,"$3,779,130","$85,946,467",-0.2,251-500,"Software, Infrastructure, Virtualization, Cloud Infrastructure, Network Hardware",01/01/2004,Operating,09/03/2015
Micromax Informatics,https://www.crunchbase.com/organization/micromax-informatics,"Hardware, Consumer Electronics, Mobile","Gurgaon, Haryana, India",Micromax Informatics offers mobile phone solutions and wireless technologies for mobile users.,328,http://www.micromaxinfo.com,Series Unknown,"$43,000,000","$88,000,000",4.2,501-1000,"Consumer Electronics, Mobile, Wireless",01/01/1991,Operating,09/20/2010
Science Exchange,https://www.crunchbase.com/organization/science-exchange,"Commerce and Shopping, Professional Services","Palo Alto, California, United States","Science Exchange is a marketplace for scientific collaboration, where researchers can order experiments from the world's best labs.",331,http://scienceexchange.com,Series C,"$28,000,000","$58,500,000",8.9,51-100,"Consulting, Marketplace, Outsourcing",05/01/2011,Operating,06/29/2017
Yext,https://www.crunchbase.com/organization/yext,"Information Technology, Software, Internet Services, Mobile","New York, New York, United States","Yext helps businesses facilitate face-to-face and digital interactions that boost brand awareness, drive foot traffic, and increase sales.",337,http://www.yext.com,Series F,"$50,250,006","$117,820,006",-1.7,501-1000,"Internet, Mobile, SaaS, Local, Cloud Data Services, Software",09/16/2006,IPO,06/04/2014
Medallia,https://www.crunchbase.com/organization/medallia,"Hardware, Media and Entertainment, Consumer Electronics, Data and Analytics, Software, Sales and Marketing, Internet Services","Palo Alto, California, United States",Medallia provides SaaS-based customer experience management systems.,341,http://www.medallia.com,Series D,"$150,000,000","$255,000,000",3.1,1001-5000,"Social Media, Enterprise Software, Computer, Customer Service, Text Analytics, Loyalty Programs",09/01/2001,Operating,07/21/2015
Carbon Black,https://www.crunchbase.com/organization/bit9,"Administrative Services, Privacy and Security","Waltham, Massachusetts, United States",Carbon Black makes threats easier to see and faster to stop.,343,http://www.carbonblack.com,Series G,"$14,000,000","$191,683,533",-0.7,501-1000,"Security, Physical Security, Homeland Security",01/01/2003,Operating,02/03/2016
Wix,https://www.crunchbase.com/organization/wix,"Software, Design","Tel Aviv, Tel Aviv, Israel",Wix is a leading global software platform for small businesses to operate online with millions of registered users in 190 countries.,344,http://www.wix.com,Series D,"$40,000,000","$58,500,000",-0.2,1001-5000,"Developer Tools, Enterprise Software, Web Design",01/01/2006,IPO,03/28/2011
Brightcove,https://www.crunchbase.com/organization/brightcove,"Media and Entertainment, Data and Analytics, Software, Internet Services, Video, Content and Publishing","Boston, Massachusetts, United States",Brightcove is offers cloud-based platforms to publish and distribute digital media.,345,https://www.brightcove.com/en/,Post-IPO Equity,"$39,907,658","$198,007,658",-0.2,251-500,"Analytics, Video, Cloud Computing, Publishing, Digital Media, Enterprise Software",01/01/2004,IPO,02/10/2014
Strava,https://www.crunchbase.com/organization/strava,"Hardware, Sports, Internet Services, Mobile","San Francisco, California, United States",Strava is an online network that connects the global community of athletes.,348,http://www.strava.com,Series E,,"$41,850,000",-1.1,51-100,"Sports, Mobile, Hardware, Fitness, Internet, Social",01/01/2009,Operating,02/16/2017
Kabbage,https://www.crunchbase.com/organization/kabbage,"Financial Services, Lending and Investments","Atlanta, Georgia, United States",Kabbage is a financial technology company. Its fully automated technology and data platform powers lending directly and for its partners.,351,http://www.kabbage.com,Debt Financing,"$500,000,000","$1,100,363,500",-1,51-100,"Credit, Finance, FinTech, Lending",02/12/2009,Operating,03/08/2017
HotelTonight,https://www.crunchbase.com/organization/hoteltonight,"Travel and Tourism, Mobile","San Francisco, California, United States",HotelTonight is a mobile hotel booking application that allows users to find and reserve same-day hotel rooms from their smartphones.,352,http://www.hoteltonight.com,Series E,"$37,000,000","$117,685,000",-0.2,,"Hospitality, Travel, Mobile",12/01/2010,Operating,03/22/2017
Netskope,https://www.crunchbase.com/organization/netskope,"Information Technology, Software, Privacy and Security","Los Altos, California, United States",Netskope is the leading cloud access security broker (CASB).,353,https://www.netskope.com,Series E,"$100,000,000","$231,400,000",-0.2,251-500,"Software, Cloud Security, Cyber Security",10/08/2012,Operating,06/06/2017
RealtyShares,https://www.crunchbase.com/organization/realtyshares,"Real Estate, Financial Services","San Francisco, California, United States",RealtyShares is an online marketplace for real estate investing,355,http://www.realtyshares.com,Debt Financing,"$11,900,000","$77,600,000",3.2,51-100,"Financial Services, Real Estate Investment, Real Estate, Crowdfunding",04/01/2013,Operating,06/21/2017
Rent the Runway,https://www.crunchbase.com/organization/rent-the-runway,"Commerce and Shopping, Design","New York, New York, United States",Rent the Runway is an online e-commerce website that allows women to rent designer apparel and accessories.,364,http://www.renttherunway.com,Series E,"$60,000,000","$174,400,000",3.5,251-500,"Fashion, Retail, E-Commerce",11/09/2009,Operating,12/27/2016
Upload VR,https://www.crunchbase.com/organization/upload-vr,"Hardware, Media and Entertainment, Software","San Francisco, California, United States",Upload is dedicated to accelerating the success of the virtual reality industry through inspiring community experiences.,367,http://upload.io,Series A,"$4,500,000","$5,750,000",-0.2,11-50,"Digital Entertainment, Virtual Reality, Media and Entertainment",01/01/2014,Operating,05/16/2017
Dropbox,https://www.crunchbase.com/organization/dropbox,"Hardware, Information Technology, Software, Internet Services","San Francisco, California, United States",Dropbox's mission is to provide a home for everyone's most important information and bring it to life.,368,http://www.dropbox.com,Debt Financing,"$600,000,000","$1,707,215,000",-1.2,1001-5000,"Web Hosting, File Sharing, Collaboration, Private Cloud, Enterprise Software",06/01/2007,Operating,03/30/2017
Duo Security,https://www.crunchbase.com/organization/duo-security,"Hardware, Information Technology, Consumer Electronics, Software, Privacy and Security","Ann Arbor, Michigan, United States",Duo Security is a cloud-based access security provider that protects the fastest-growing companies and thousands of organizations worldwide.,369,https://www.duo.com,Grant,"$2,500,000","$51,500,000",-0.1,251-500,"Computer, Enterprise Software, Cyber Security, Network Security, Cloud Security",01/01/2010,Operating,04/26/2016
Drive.ai,https://www.crunchbase.com/organization/drive-ai,"Science and Engineering, Hardware, Data and Analytics, Software, Transportation","Mountain View, California, United States",Drive.ai creates AI software for autonomous vehicles.,372,http://www.drive.ai,Series B,"$50,000,000","$62,000,000",8.4,,"Software, Autonomous Vehicles, Robotics, Automotive, Machine Learning, Artificial Intelligence",01/01/2015,Operating,06/27/2017
HealthTap,https://www.crunchbase.com/organization/healthtap,"Health Care, Internet Services","Palo Alto, California, United States",HealthTap+ helps millions everywhere smile and feel good by reinventing the way they take care of their health and well-being.,379,http://www.healthtap.com,Series B,"$24,000,000","$38,250,000",-0.5,101-250,"Medical, Health Care, Internet",01/01/2010,Operating,05/08/2013
OpenX,https://www.crunchbase.com/organization/openx,"Software, Sales and Marketing, Internet Services, Advertising","Pasadena, California, United States",OpenX provides digital and advertising technologies that optimize a company's advertising revenue.,380,http://www.openx.com,Secondary Market,,"$70,511,200",-0.9,251-500,"Advertising, Enterprise Software, Internet",01/01/2007,Operating,06/01/2015
SoundCloud,https://www.crunchbase.com/organization/soundcloud,"Apps, Media and Entertainment, Music and Audio, Software","Berlin, Germany, Europe",SoundCloud is a social sound platform where anyone can create and share sounds.,381,http://www.soundcloud.com/,Debt Financing,"$70,000,000","$298,319,000",-0.5,251-500,"Music, Art, Independent Music, Apps",01/01/2007,Operating,03/23/2017
Prezi,https://www.crunchbase.com/organization/prezi,"Information Technology, Software, Internet Services","San Francisco, California, United States","Prezi is the interactive, cloud-based presentation platform that helps you connect more powerfully with your audience.",385,http://prezi.com,Private Equity,"$57,000,000","$72,760,000",0.8,101-250,"Cloud Data Services, Presentations, Software",01/01/2008,Operating,11/19/2014
Couchbase,https://www.crunchbase.com/organization/couchbase,"Data and Analytics, Software, Mobile","Mountain View, California, United States","Couchbase is a NoSQL vendor that develops Couchbase Server, an open-source, NoSQL, document-oriented database.",389,http://www.couchbase.com,Series F,"$30,000,000","$146,000,000",0.9,,"Mobile, Big Data, Enterprise Software, Analytics",01/02/2009,Operating,03/15/2016
Sprout Social,https://www.crunchbase.com/organization/sprout-social,"Apps, Media and Entertainment, Software, Internet Services","Chicago, Illinois, United States","Sprout Social provides a platform for businesses to manage social media engagement, publishing and analytics.",399,http://sproutsocial.com,Series C,"$42,000,000","$61,000,000",0.9,101-250,"Social Media, Search Engine, Software, Apps",01/01/2010,Operating,02/17/2016
SugarCRM,https://www.crunchbase.com/organization/sugarcrm,"Information Technology, Software, Sales and Marketing, Internet Services","Cupertino, California, United States",SugarCRM enables businesses to create extraordinary customer relationships with the most innovative CRM solution in the market.,401,http://sugarcrm.com,Secondary Market,,"$123,088,960",1.4,501-1000,"Software, Lead Management, Cloud Computing, CRM, Enterprise Software",04/01/2004,Operating,09/30/2015
Anomali,https://www.crunchbase.com/organization/threatstream,"Information Technology, Privacy and Security","Redwood City, California, United States",Anomali delivers earlier detection and identification of adversaries in your organizations network.,405,https://www.anomali.com,Funding Round,,"$56,300,000",0.9,101-250,"Security, Network Security, Cyber Security",01/01/2013,Operating,08/10/2016
Getaround,https://www.crunchbase.com/organization/getaround,"Transportation, Mobile","San Francisco, California, United States",Getaround is a mobile application and a peer-to-peer car sharing marketplace that enables car owners to rent out their cars.,407,http://www.getaround.com,Series C,"$45,000,000","$103,024,999",-1.3,51-100,"Car Sharing, Transportation, Collaborative Consumption, Mobile",09/10/2009,Operating,04/20/2017
LegalZoom,https://www.crunchbase.com/organization/legalzoom-com,Professional Services,"Glendale, California, United States",LegalZoom is a trusted technology platform giving access to professional legal advice so people can protect what matters most,414,http://www.legalzoom.com,Series Unknown,,"$311,000,000",2.6,501-1000,"Legal, Professional Services, Consulting",12/01/1999,Operating,11/10/2014
BloomReach,https://www.crunchbase.com/organization/bloomreach,"Commerce and Shopping, Data and Analytics, Software, Sales and Marketing, Internet Services","Mountain View, California, United States",BloomReach develops a cloud marketing platform analyzing big data to help clients surface relevant content through search engines.,415,http://www.bloomreach.com,Series D,"$56,000,000","$97,000,000",-0.4,251-500,"SEO, Enterprise Software, Big Data, E-Commerce",01/01/2009,Operating,01/29/2016
Apptio,https://www.crunchbase.com/organization/apptio,"Information Technology, Software","Bellevue, Washington, United States",Apptio is a provider of SaaS-based Technology Business Management (TBM) solutions for managing businesses in the IT field.,430,http://www.apptio.com,Secondary Market,,"$136,000,000",0.4,501-1000,"Information Technology, Enterprise Software, SaaS",11/01/2007,IPO,07/01/2014
Mixpanel,https://www.crunchbase.com/organization/mixpanel,"Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States","Mixpanel is an analytics platform for the mobile and web, supporting businesses to study consumer behavior.",432,http://www.mixpanel.com,Series B,"$65,000,000","$77,015,000",-1.4,,"Analytics, Mobile, Web Browsers",06/20/2009,Operating,12/18/2014
The Players' Tribune,https://www.crunchbase.com/organization/the-players-tribune,"Gaming, Media and Entertainment, Sports, Internet Services","New York, New York, United States","The Players' Tribune is a new media platform that presents the voices of professional athletes, bringing fans closer to the games they love.",435,http://www.theplayerstribune.com/,Series C,"$40,000,000","$58,000,000",6,11-50,"Social Media, Digital Media, Sports, Gaming",10/01/2014,Operating,01/19/2017
PagerDuty,https://www.crunchbase.com/organization/pagerduty,"Information Technology, Software, Internet Services","San Francisco, California, United States",PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.,436,http://www.pagerduty.com,Series C,"$43,800,000","$83,600,000",-0.8,251-500,"Information Technology, IT Management, SaaS, Cloud Computing",02/01/2009,Operating,04/13/2017
Kreditech Holding,https://www.crunchbase.com/organization/kreditech,"Data and Analytics, Financial Services, Lending and Investments","Hamburg, Hamburg, Germany",Kreditech uses machine-learning technologies to provide access to better credit for the underbanked,438,http://www.kreditech.com,Funding Round,"€110,000,000","$497,587,833",-0.2,251-500,"Financial Services, FinTech, Finance, Lending, Big Data, Personal Finance, Banking",02/01/2012,Operating,05/10/2017
Teespring,https://www.crunchbase.com/organization/teespring,"Commerce and Shopping, Financial Services, Design","Providence, Rhode Island, United States",Teespring is a commerce platform that empowers anyone to design and sell products that people love.,442,http://teespring.com,Series A,"$5,000,000","$61,875,000",3.2,11-50,"E-Commerce, Crowdfunding, Fashion",01/01/2011,Operating,06/22/2017
Postmates,https://www.crunchbase.com/organization/postmates,"Food and Beverage, Administrative Services, Transportation","San Francisco, California, United States","Postmates powers local, on-demand logistics focused on fast deliveries from any type of merchant at scale.",445,https://postmates.com/,Series D,"$140,000,000","$278,010,000",4.7,101-250,"Same Day Delivery, Delivery, Food Delivery, Transportation, Logistics",03/01/2011,Operating,09/16/2016
BitPay,https://www.crunchbase.com/organization/bitpay,"Software, Payments, Financial Services","Atlanta, Georgia, United States","BitPay is a payment processor for the peer-to-peer digital currency, Bitcoin.",446,http://bitpay.com,Series A,"$30,000,000","$32,510,000",1.2,51-100,"Bitcoin, Finance, Peer to Peer, Payments",05/01/2011,Operating,05/13/2014
Quora,https://www.crunchbase.com/organization/quora,"Media and Entertainment, Information Technology, Internet Services","Mountain View, California, United States",Quora is a Q&A platform that empowers people to share knowledge and better understand the world.,448,http://quora.com,Series D,"$85,000,000","$226,000,000",-0.7,101-250,"Internet, Information Services, Social Media",06/01/2009,Operating,04/21/2017
Innovid,https://www.crunchbase.com/organization/innovid,"Media and Entertainment, Internet Services, Video, Content and Publishing, Advertising","New York, New York, United States","Innovid is the world’s leading video marketing platform for advertisers to create, deliver and measure video experiences on any device.",450,http://www.innovid.com,Debt Financing,"$12,500,000","$65,100,000",2.6,101-250,"Ad Targeting, Internet, Advertising Platforms, Publishing, Video",07/01/2007,Operating,12/23/2015
Appian,https://www.crunchbase.com/organization/appian,"Software, Internet Services, Mobile","Reston, Virginia, United States",Appian provides a leading low-code software development platform that enables organizations to rapidly develop powerful applications.,451,http://www.appian.com,Series Unknown,"$37,499,994","$47,499,994",1.8,501-1000,"Software, Cloud Computing, Enterprise Software, Industrial, Developer Tools, Mobile",08/17/1999,IPO,03/03/2014
MobileIron,https://www.crunchbase.com/organization/mobileiron,"Apps, Hardware, Consumer Electronics, Software, Privacy and Security, Mobile","Mountain View, California, United States",MobileIron manufactures Mobile Device Management solutions (MDM) and Enterprise Mobility Management (EMM) for mobile devices.,454,http://www.mobileiron.com,Series F,"$48,000,000","$163,974,696",-0.4,251-500,"Apps, Mobile Devices, SaaS, Mobile Apps, Security, Mobile",05/01/2007,IPO,10/10/2013
Puppet,https://www.crunchbase.com/organization/puppet-labs,"Information Technology, Data and Analytics, Software","Portland, Oregon, United States",Puppet is an information technology automation software company designed for system administrators.,455,https://puppet.com/,Debt Financing,"$22,000,000","$107,500,000",-0.5,251-500,"Information Technology, Application Performance Management, Software, Information Services, Infrastructure",01/01/2005,Operating,01/20/2016
Gigya,https://www.crunchbase.com/organization/gigya,"Hardware, Information Technology, Consumer Electronics, Software, Privacy and Security","Mountain View, California, United States","Gigya offers a Customer Identity Management Platform that businesses can use to identify customers, aggregate data & personalize campaigns.",459,http://www.gigya.com,Series F,"$35,000,000","$105,800,000",3.7,251-500,"Identity Management, Computer, Enterprise Software",06/01/2006,Operating,11/04/2014
