Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Paul Buchheit,/person/paul-buchheit,119,34,"Mountain View, California, United States","Paul Buchheit co-founded social network aggregator [FriendFeed](/organization/friendfeed), along with three other former [Google](/organizat...",771,6,Individual/Angel,Seed
Scottish Equity Partners (SEP),/organization/scottish-equity-partners,134,34,"Glasgow, Glasgow City, United Kingdom",Scottish Equity Partners backs the best high growth technology companies across the UK and beyond.,"1,716",7.3,Venture Capital,Late Stage Venture
Avalon Ventures,/organization/avalon-ventures,144,34,"La Jolla, California, United States",Avalon Ventures is an early stage venture capital fund focused on information technology and life sciences.,"2,023",-0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
JMI Equity,/organization/jmi-equity,102,34,"Baltimore, Maryland, United States","JMI Equity is a Maryland-based growth equity firm that invests in software, internet, business services, and healthcare IT companies.","3,335",-1.7,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Split Rock Partners,/organization/split-rock-partners,91,34,"Minneapolis, Minnesota, United States","Split Rock Partners invests in emerging healthcare, software and Internet services companies in the Upper Midwest and West Coast.","3,360",2.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
David Tisch,/person/david-tisch,84,34,"New York, New York, United States","David Tisch is the Managing Partner of BoxGroup, a New York City-based early stage investment fund. BoxGroup is an investor in over 200 seed...","3,855",-1.4,"Investment Partner, Individual/Angel",Seed
CMEA Capital,/organization/cmea-capital,94,34,"San Francisco, California, United States","CMEA Capital caters seed, early, and later stage venture, private equity, and debt financing investments and is based in California.","6,336",-1.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Rho Capital Partners,/organization/rho-capital-ventures,95,34,"New York, New York, United States","Rho Capital Partners, an American private equity firm, offers long-term investments to IT, new media, healthcare, and energy tech companies.","6,565",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Viola Credit,/organization/viola-credit,83,34,"Herzliya, Tel Aviv, Israel","Viola Credit, a lending fund, offers tailor-made financing solutions for companies in the technology, industrial and service sectors.","6,653",2.3,Venture Debt,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
GrowthWorks Capital,/organization/growthworks,110,34,"Vancouver, British Columbia, Canada",GrowthWorks Capital is a Vancouver-based venture capital firm focused on the management of regionally-based venture capital funds.,"9,993",-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Labrador Ventures,/organization/labrador-ventures,110,34,"Palo Alto, California, United States","Labrador Ventures is a seed stage venture fund in Silicon Valley. With over $200 million under management, Labrador has invested in more","10,236",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Vivo Capital,/organization/vivo-capital,79,33,"Palo Alto, California, United States",Vivo Capital is an investment company focused on private and public healthcare companies in the U.S. and greater China.,"2,102",-1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Abingworth,/organization/abingworth-management,92,33,"London, England, United Kingdom",Abingworth is an international investment group dedicated to collaborating with life sciences entrepreneurs,"2,706",-1.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Novo A/S,/organization/novo-a-s,114,33,"Hellerup, Hovedstaden, Denmark","Novo A/S is the holding company of the Novo Group, wholly-owned by the Novo Nordisk Foundation.","2,880",2.3,Venture Capital,"Post-Ipo, Seed, Late Stage Venture, Early Stage Venture, Private Equity"
Signatures Capital,/organization/signatures-capital,125,33,"Redwood Shores, California, United States",Signatures Capital is a California-based venture capital firm that supports entrepreneurs and leadership teams in building new companies.,"4,010",2.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
El Dorado Ventures,/organization/el-dorado-ventures,118,33,"Menlo Park, California, United States",El Dorado Ventures invests in early-stage companies with disruptive technology and business models in emerging and high-growth markets.,"4,767",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Kennet Partners,/organization/kennet-venture-partners,71,33,"London, England, United Kingdom",Kennet invests in growth companies providing information technology products and business services that leverage information technology.,"4,930",-2.9,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Delphi Ventures,/organization/delphi-ventures,140,33,"San Mateo, California, United States",Delphi Ventures was founded over 25 years ago as one of the first venture capital firms to focus on investing in life sciences companies.,"6,356",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Intersouth Partners,/organization/intersouth-partners,154,33,"Durham, North Carolina, United States","Intersouth Partners is one of the most active and experienced venture funds in the Southeast, having invested in more than 100 private","9,014",-0.4,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Data Collective,/organization/data-collective,249,32,"San Francisco, California, United States","Data Collective invests in entrepreneurs building big data, deep compute, and IT infrastructure companies.",887,-7.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Omnes Capital,/organization/omnes-capital,112,32,"Paris, Ile-de-France, France",Omnes Venture Capital provides financial assistance to startups in the ICT and life sciences sectors.,"1,431",1.2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Wellington Partners,/organization/wellington-partners,162,32,"Munich, Bayern, Germany",Wellington Partners is a venture capital firm that invests in technology and life sciences companies.,"2,033",1.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Scott Banister,/person/scott-banister,124,32,"San Francisco, California, United States",Scott is an American entrepreneur and angel investor. He is best known as a co-founder of IronPort and an early advisor and board member at ...,"2,639",0.4,Individual/Angel,Seed
ABS Capital Partners,/organization/abs-capital-partners,69,32,"Baltimore, Maryland, United States","ABS Capital Partners invest on business & education services, information & communications technology, & health care.","3,280",2.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
River Cities Capital Funds,/organization/river-cities-capital,80,32,"Cincinnati, Ohio, United States",River Cities Capital Funds is an Ohio-based growth equity company focused on investments in healthcare and information technology companies.,"5,319",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Noro-Moseley Partners,/organization/noro-moseley-partners,107,32,"Atlanta, Georgia, United States","NMP is a venture capital firm that has invested in more than 160 promising start-ups and early-growth-stage companies in the technology,","6,692",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Crosspoint Venture Partners,/organization/crosspoint-venture-partners,82,32,"Redwood City, California, United States",Crosspoint Venture Partners invests in early stage companies in two strategic areas: E-Business Services and Broadband.,"7,303",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Novak Biddle Venture Partners,/organization/novak-biddle-venture-partners,115,32,"Bethesda, Maryland, United States","Novak Biddle Venture Partners provides equity financing and assistance to the management of young, information technology companies.","7,497",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Crescendo Ventures,/organization/crescendo-ventures,111,32,"Palo Alto, California, United States","Crescendo Ventures is a venture capital firm based in Palo Alto, CA.","7,666",-2.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Oxford Bioscience Partners,/organization/oxford-bioscience-partners,99,32,"Boston, Massachusetts, United States","Oxford Bioscience Partners (OBP), established in 1992, is a venture capital firm that provides equity financing and management assistance","9,597",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Palomar Ventures,/organization/palomar-ventures,92,32,"Ladera Ranch, California, United States",Palomar Ventures was launched in 1999 by veteran venture capitalists to focus on early stage information technology companies that,"13,188",-0.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
KKR & Co. (Kohlberg Kravis Roberts & Co.),/organization/kkr,112,31,"New York, New York, United States","KKR is a global alternative asset manager focusing on private equity, fixed income, and capital markets.",111,-1.8,Private Equity Firm,"Late Stage Venture, Private Equity"
NGP Capital,/organization/nokia-growth-partners,108,31,"Palo Alto, California, United States",Backing entrepreneurs focused on building a connected world. Investing globally.,535,9.5,Venture Capital,Late Stage Venture
Reid Hoffman,/person/reid-hoffman,65,31,"San Francisco, California, United States",Reid joined Greylock Partners as an investment partner in 2009. He focuses on building products that can reach hundreds of millions of parti...,863,-2.3,"Investment Partner, Individual/Angel",Seed
e.ventures,/organization/e-ventures,224,31,"San Francisco, California, United States",e.ventures is a global venture capital platform with an investment focus on early-stage consumer internet and mobile companies.,"1,229",-3.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Harrison Metal,/organization/harrison-metal-capital,148,31,"San Francisco, California, United States",Harrison Metal is an early-stage venture capital firm,"1,609",9.8,,"Seed, Early Stage Venture"
Deutsche Telekom Strategic Investments,/organization/t-venture,115,31,"Bonn-lengsdorf, Nordrhein-Westfalen, Germany","Deutsche Telekom Strategic Investments is managed by Deutsche Telekom Capital Partners, the investment management Group of Deutsche Telekom.","2,272",6,"Venture Capital, Corporate Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity"
Employee Stock Option Fund (ESO Fund),/organization/eso-fund,41,31,"San Mateo, California, United States",ESO Fund provides funding for employees of venture-backed companies to absorb the financial risk of exercising stock options.,"6,346",-0.2,Secondary Purchaser,"Post-Ipo, Late Stage Venture, Secondary Market, Debt, Early Stage Venture"
Kodiak Venture Partners,/organization/kodiak-venture-partners,133,31,"Wellesley, Massachusetts, United States",Kodiak Venture Partners pursues a disciplined investment strategy that is focused on building seed and early stage technology companies,"7,890",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Commonwealth Capital Ventures,/organization/commonwealth-capital-ventures,101,31,"Boston, Massachusetts, United States",Commonwealth Capital Ventures is a leading venture capital firm focused on early and growth stage technology companies.,"8,431",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
J & W Seligman,/organization/j-w-seligman,74,31,"New York, New York, United States",Seligman's commitment is to the development of innovative investment products,"14,208",-0.6,Fund Of Funds,Late Stage Venture
SV Health Investors,/organization/sv-life-sciences,183,30,"Boston, Massachusetts, United States",SV Health Investors is a Boston-based venture capital firm focused on investments in biotechnology and healthcare industry.,"2,124",5.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Amicus Capital,/organization/amicus-capital,98,30,"San Francisco, California, United States","Amicus Capital was founded in 1998 by Bob Zipp and Jim Brock, and focuses on a wide range of capital investment.","3,300",-1.3,Venture Capital,Seed
Time Warner Investments,/organization/time-warner-investments,87,30,"New York, New York, United States",Time Warner Investments is an investor of an early to midstage companies that can generate strategic value for the Time Warner's businesses.,"3,398",-1.4,"Venture Capital, Corporate Venture Capital","Early Stage Venture, Late Stage Venture"
Deerfield,/organization/deerfield,66,30,"New York, New York, United States","Deerfield is an investment management firm, committed to advancing healthcare through investment, information and philanthropy.","3,831",-0.2,Venture Capital,"Early Stage Venture, Debt"
New Leaf Venture Partners,/organization/new-leaf-venture-partners,132,30,"New York, New York, United States",New Leaf Venture Partners is a New York- based venture capital firm focused on investments in healthcare technology companies.,"4,562",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Rock Springs Capital,/organization/rock-springs-capital,41,30,"Baltimore, Maryland, United States","Rock Springs Capital is an investment company located in Baltimore, Maryland. Its advisory activities include management services to","5,589",-3,Venture Capital,"Early Stage Venture, Late Stage Venture"
Three Arch Partners,/organization/three-arch-partners,114,30,"Portola Valley, California, United States","Three Arch Partners was formed in 1993 to provide young companies with access to relevant clinical and business resources, as well as","7,125",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture"
JK&B Capital,/organization/jk-b-capital,104,30,"Chicago, Illinois, United States","JK&B Capital is a venture capital firm focused in the software, IT and commu- nications markets with over $1.1 billion of capital under","9,007",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
Tencent Holdings,/organization/tencent,215,29,"Shenzhen, Guangdong, China","Tencent is a Chinese internet service portal offering value-added internet, mobile, telecom, and online advertising services.",11,4.4,,
Temasek Holdings,/organization/temasek,126,29,"Singapore, Central Region, Singapore","Temasek is an investment company based in Singapore, with a focus on delivering sustainable returns over the long term.",150,-0.6,Private Equity Firm,
Union Square Ventures,/organization/union-square-ventures,231,29,"New York, New York, United States","Union Square Ventures is a venture capital firm focused on early stage, growth capital, late stage, and startup financing.",334,5.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Maveron,/organization/maveron,181,29,"San Francisco, California, United States","Maveron is a California-based venture capital and private equity firm that finances seed, early, and later stage companies.",510,-2.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Relay Ventures,/organization/relay-ventures,128,29,"Menlo Park, California, United States",Relay Ventures is a Canadian venture capital firm focused on investing in early-stage mobile ventures throughout North America.,526,-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
BlueRun Ventures,/organization/bluerun-ventures,153,29,"Menlo Park, California, United States","BlueRun Ventures is an early-stage venture capital firm focused on opportunities across mobile software, services, and financial technology.",894,8.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
Alliance of Angels,/organization/alliance-of-angels,171,29,"Seattle, Washington, United States","We are a group of 140+ active angel investors. Each year, we invest $10M+ into 20+ startups and provide mentorship to help them succeed.","1,668",5.6,Angel Group,"Seed, Early Stage Venture"
Amadeus Capital Partners,/organization/amadeus-capital-partners,149,29,"London, England, United Kingdom","Amadeus Capital Partners caters to the technology sector with seed, early, and later stage venture, and private equity investments.","2,066",-0.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Ventech,/organization/ventech-capital,130,29,"Paris, Ile-de-France, France",Ventech is a Paris-based venture capital firm focused on seed- and early-stage venture investments.,"2,283",0.6,Venture Capital,"Seed, Early Stage Venture"
JP Morgan Chase & Co.,/organization/jpmorgan-chase-co,84,29,"New York, New York, United States","JP Morgan Chase & Co. is a global financial services provider that offers investment banking, asset management, treasury and other services.","3,343",5,Investment Bank,"Late Stage Venture, Private Equity, Debt"
Genesis Partners,/organization/genesis-partners,106,29,"Herzliya, Tel Aviv, Israel",Genesis Partners has one of the strongest track records in the Israeli venture capital industry.,"5,390",-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Gemini Israel Ventures,/organization/gemini-israel-funds,132,29,"Herzliya, Tel Aviv, Israel",Gemini is a venture capital fund that invests in early and seed-stage companies.,"6,039",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Enterprise Partners,/organization/enterprise-partners,117,29,"La Jolla, California, United States",Enterprise Partners was founded in 1985 and is one of the few venture firms that have consistently focused on investing in Southern,"6,296",-0.6,"Venture Capital, Micro VC","Early Stage Venture, Late Stage Venture"
Longworth Venture Partners,/organization/longworth-venture-partners,95,29,"Waltham, Massachusetts, United States",Longworth Venture Partners is a Boston-based VC investing in early-stage technology companies.,"8,150",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
TL Ventures,/organization/tl-ventures,111,29,"Wayne, Pennsylvania, United States",TL Ventures works in the business of venture capital.,"9,095",-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
SoftBank,/organization/softbank,144,28,"Tokyo, Tokyo, Japan","SoftBank provides fixed line, mobile telephony, internet, telecommunications, and digital television products.",55,-2,Investment Bank,"Seed, Early Stage Venture, Late Stage Venture"
Tiger Global Management,/organization/tiger-global,208,28,"New York, New York, United States","Tiger Global Management, LLC is an investment firm that deploys capital globally in both public and private markets.",487,0,Venture Capital,"Post-Ipo, Late Stage Venture, Secondary Market, Early Stage Venture, Private Equity"
Advent International,/organization/advent-international,79,28,"Boston, Massachusetts, United States",Advent has the broadest geographic reach of any private equity investor with 15 offices and 6 affiliates in 23 countries.,"1,356",-3.9,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
TPG,/organization/texas-pacific-group,94,28,"Austin, Texas, United States",TPG is a global private investment firm with approximately $45 billion of capital under management across a family of funds.,"1,622",-2.9,Private Equity Firm,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture"
HIG Capital,/organization/hig-capital,98,28,"Miami, Florida, United States",HIG Capital is an American global private equity and alternative assets investment firm with over $20 billion of capital under management.,"1,849",3.8,Private Equity Firm,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Jerusalem Venture Partners (JVP),/organization/jerusalem-venture-partners,151,28,"Jerusalem, Yerushalayim, Israel",Jerusalem Venture Partners (JVP) is one of Israel's leading VC funds with 28 noteworthy exits and over $1.0bn raised to date.,"1,876",-0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Dave McClure,/person/dave-mcclure,94,28,"San Francisco, California, United States","Dave McClure is a venture capitalist and founding partner at 500 Startups, a venture capital firm & startup incubator headquartered in Silic...","1,906",-3.2,"Investment Partner, Individual/Angel",Seed
Viola Ventures,/organization/violaventures,173,28,"Herzliya, Tel Aviv, Israel",Viola Ventures (formerly Carmel Ventures) is a venture capital firm that invests in Israeli related early stage companies.,"2,277",9.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Lowercase Capital,/organization/lowercase-capital,136,28,"Los Angeles, California, United States",Lowercase Capital provides capital and advisory services to start-ups and late-stage companies alike.,"2,502",-4.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Azure Capital Partners,/organization/azure-capital-partners,128,28,"San Francisco, California, United States","Azure Capital Partners is a venture capital firm with over $750 million under management, headquartered in San Francisco, California.","2,613",-1.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Life Sciences Partners,/organization/life-sciences-partners,86,28,"Amsterdam, Noord-Holland, The Netherlands","LSP (Life Sciences Partners) is a leading independent European investment firm, providing financing to private and public life-science","3,032",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Northgate Capital,/organization/northgate-capital,97,28,"Danville, California, United States",venture capital direct investments for expansion-stage high-tech startups; venture capital and private equity fund-of-funds,"4,388",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Rustic Canyon Partners,/organization/rustic-canyon-partners,98,28,"Santa Monica, California, United States","Rustic Canyon Partners is California-based, early-stage venture capital firm focused on digital media, e-commerce, and SaaS-based companies.","5,684",0.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Bay City Capital,/organization/bay-city-capital,89,28,"San Francisco, California, United States","Bay City Capital LLC (Bay City Capital), established in 1997 , specializes in investments in the life sciences industry.","6,180",-1.8,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
TVM Capital,/organization/tvm-capital,97,28,"Munich, Bayern, Germany",TVM Capital is a global venture and growth capital firm that aims to finance select biopharmaceutical and medical device companies.,"6,476",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Microsoft,/organization/microsoft,82,27,"Redmond, Washington, United States","Microsoft, a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",49,-1,,
Credit Suisse,/organization/credit-suisse,74,27,"Zürich, Zurich, Switzerland","Credit Suisse Group AG, one of the world’s leading financial services companies.",136,7.5,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity"
Fidelity Investments,/organization/fidelity-investments,69,27,"Boston, Massachusetts, United States",Fidelity Investments provides financial services and investment resources that help its users meet their financial objectives.,208,6.3,Investment Bank,"Late Stage Venture, Private Equity, Post-Ipo"
Wavemaker Partners,/organization/siemer-ventures,272,27,"Santa Monica, California, United States","Wavemaker is a crossborder early stage VC firm, dual headquartered in LA/Singapore, focused on seed stage technology startup opportunities.",542,-1.1,Venture Capital,"Seed, Early Stage Venture"
Idinvest Partners,/organization/idinvest-partners,167,27,"Paris, Ile-de-France, France",Idinvest Partners is a pan-European private equity manager focused on the low and middle market segments.,555,7.4,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture"
Slow Ventures,/organization/slow-ventures,222,27,"San Francisco, California, United States","Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.",679,-0.1,Micro VC,
Pritzker Group Venture Capital,/organization/pritzker-group-venture-capital,162,27,"Chicago, Illinois, United States",Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,682,3.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Tenaya Capital,/organization/tenaya-capital,135,27,"Portola Valley, California, United States","Tenaya Capital is a leading venture capital firm with offices in Woodside, California, and Boston, Massachusetts.","1,168",8.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Seventure Partners,/organization/seventure-partners,125,27,"Paris, Ile-de-France, France","Seventure Partners is a French venture capital firm targeting in information and communication technology, and life sciences companies.","1,386",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Comerica Bank,/organization/comerica-bank,62,27,"Reston, Virginia, United States","Comerica Bank is a Texas-based financial services corporation that specializes in business and retail banking, and wealth management.","1,441",3.5,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Bank of America,/organization/bank-of-america,71,27,"Charlotte, North Carolina, United States","Bank of America offers banking, investing, and other financial and risk management services to individuals, SMBs and large corporations.","1,677",2.9,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Webb Investment Network,/organization/webb-investment-network,108,27,"San Francisco, California, United States",Maynard Webb created the Webb Investment Network in 2010 to formalize the investing he has done over the past fifteen years.,"2,570",1.6,Family Investment Office,"Seed, Early Stage Venture"
Aisling Capital,/organization/aisling-capital,75,27,"New York, New York, United States",Aisling Capital believes the next decade will be marked by a revolution in healthcare driven by new therapeutics generated by,"2,677",4.2,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Birchmere Ventures,/organization/birchmere-ventures,94,27,"Pittsburgh, Pennsylvania, United States","Seed/early stage fund; >$200m AUM, 5 funds since 1996; portfolio market cap >$15b; offices in Pittsburgh and Palo Alto.","2,700",-2.4,Venture Capital,"Seed, Early Stage Venture"
Rembrandt Venture Partners,/organization/rembrant-venture-partners,105,27,"San Francisco, California, United States","Rembrandt Venture Partners is a team of entrepreneurs, company builders, and investors.","2,919",-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
JAFCO Asia,/organization/jafco-asia,101,27,"Singapore, Central Region, Singapore","Since its establishment in 1990, JAFCO Asia has grown to become a leading brand in the venture capital industry in the Asia Pacific region.","3,000",-2.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
TriplePoint Capital,/organization/triplepoint-capital,66,27,"Menlo Park, California, United States",TriplePoint Capital offers leases and loans to finance companies' equipment or growth-capital needs.,"3,073",3.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Giza Venture Capital,/organization/giza-venture-capital,103,27,"Tel Aviv, Tel Aviv, Israel",Giza Venture Capital is a seed and early-stage technology companies investor.,"3,102",5.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Innovacom,/organization/innovacom,111,27,"Paris, Ile-de-France, France",Innovacom is a Paris-based venture capital firm focused on investments in telecommunication and information technology startups.,"4,531",2.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Auriga Partners,/organization/auriga-partners,149,27,"Paris, Ile-de-France, France","Since 1998, AURIGA PARTNERS, an independent Venture Capital firm, has been managing several early stage funds specializing in Information","6,931",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
OVP Venture Partners,/organization/ovp-venture-partners,111,27,"Seattle, Washington, United States",OVP Venture Partners is a venture capital firm specializing in early-stage technology-based companies.,"7,143",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
CMEA Ventures,/organization/cmea-ventures,61,27,"San Francisco, California, United States","San Francisco based venture capital firm that specializes in high technology, life sciences, and alternative energy investments","10,780",-0.5,Venture Capital,
J.P. Morgan Securities Inc.,/organization/j-p-morgan-securities-inc,55,27,"New York, New York, United States",J.P. Morgan is a global industry leader with more than $13.7 trillion in assets under custody and $5.1 trillion in assets under,"12,390",-0.4,"Venture Capital, Investment Bank","Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Bowman Capital,/organization/bowman-capital,46,27,"San Mateo, California, United States",Bowman Capital Management is an institutional investor specializing in both public and private technology growth companies.,"13,639",-0.4,Private Equity Firm,Late Stage Venture
Earlybird Venture Capital,/organization/earlybird-venture-capital,151,26,"Berlin, Berlin, Germany",Earlybird Venture Capital is an investment fund based in Europe.,361,8.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Alexis Ohanian,/person/alexis-ohanian,125,26,"San Francisco, California, United States","Alexis Ohanian, born April 24, 1983, is an entrepreneur and investor in Brooklyn, NY, best known as the co-founder and executive chair of re...",523,3.3,Individual/Angel,Seed
Advantage Capital Partners,/organization/advantage-capital-partners,96,26,"Huntsville, Alabama, United States","Advantage Capital Partners is a group of venture capital partnerships that provides equity and debt capital, along with counsel and other",698,3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Bain Capital,/organization/bain-capital-2,65,26,"Boston, Massachusetts, United States","Bain Capital is a global alternative investment firm specializes in private equity, venture capital and credit products.",781,8.5,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
SAIF Partners,/organization/saif-partners,227,26,"Hong Kong, Hong Kong Island, Hong Kong",SAIF Partners is a venture and growth capital fund invested in helping Asia's exceptional companies grow from concept to IPO.,895,-1.6,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Spectrum Equity,/organization/spectrum-equity-investors,80,26,"Boston, Massachusetts, United States","Spectrum Equity, a private equity firm, provides capital and strategic support to internet, software, and information services companies.","1,465",-0.4,Private Equity Firm,Private Equity
Compound,/organization/metamorphic-ventures-llc,136,26,"New York, New York, United States","Compound, formerly Metamorphic Ventures, is a New York City based venture capital firm that invests in early stage startups.","1,722",3,Venture Capital,"Seed, Early Stage Venture"
Shenzhen Capital Group,/organization/shenzhen-capital-group,169,26,"Shenzhen, Guangdong, China",Shenzhen Capital Group is a venture capital firm formerly known as Shenzhen Innovation and Technology Investment company.,"1,905",2.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Sun Microsystems,/organization/sun-microsystems,41,26,"Santa Clara, California, United States","Sun Microsystems is a multinational vendor of computers, computer software and hardware, and information technology services.","2,801",-1.8,,
Paladin Capital Group,/organization/paladin-capital-group,91,26,"Washington, District of Columbia, United States",Paladin is a global investor that supports and grows the world’s most innovative companies through venture investment and growth capital,"3,054",-1.6,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Dave Morin,/person/dave-morin,57,26,"San Francisco, California, United States",Dave is an entrepreneur & investor.  He is Founder & Partner at Slow Ventures. A leading Silicon Valley venture capital firm that champio...,"4,259",-0.9,Individual/Angel,Seed
Microsoft Accelerator,/organization/microsoft-ventures,233,26,"Redmond, Washington, United States",Microsoft Accelerator is a global initiative empowering entrepreneurs around the world on their journey to build great companies.,"4,378",-3.1,Accelerator,"Seed, Non Equity Assistance"
Hearst Ventures,/organization/hearst-interactive-media,95,26,"New York, New York, United States","Hearst Ventures, a corporate venture fund, invests in early-stage companies with a focus on emerging media and interactive technologies.","4,552",1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Steamboat Ventures,/organization/steamboat-ventures,109,26,"Glendale, California, United States",Steamboat Ventures is venture capital firm affiliate of The Walt Disney Company. They invest in early-stage technology companies.,"5,612",-0.4,Corporate Venture Capital,
HealthCare Ventures,/organization/healthcare-ventures,85,26,"Cambridge, Massachusetts, United States",HealthCare Ventures is a life science venture capital firm that invests in early clinical stage companies which transform patient care.,"6,795",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Agility Capital,/organization/agility-capital,92,26,"Santa Barbara, California, United States","Agility Capital, a venture debt fund, offers senior debt solutions to venture capital-backed private companies in the Western United States.","6,916",-6.7,Venture Debt,"Debt, Post-Ipo"
